             data/had/      HAD.TAB                  HAD.TAB    GP-J-HAD-3-ENTRY-V1.0 1998-08-06   80    91 
             data/nep/ BASEOFFS.TAB             BASEOFFS.TAB    GP-J-NEP-3-ENTRY-V1.0 1998-12-03   55    82 
             data/nep/   CONTAM.TAB          File  7 - 1.1.6    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   23   437 
             data/nep/ ELECOFFS.TAB          File  3 - 1.1.2    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67    88 
             data/nep/  FITTEMP.TAB            File  9 - 2.1    GP-J-NEP-3-ENTRY-V1.0 1998-03-12   56   463 
             data/nep/     GAIN.TAB          File  6 - 1.1.5    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   56   437 
             data/nep/      PTZ.TAB          File  2 - 1.1.1    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   56   486 
             data/nep/      RAW.TAB            File  1 - 1.0    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   56   880 
             data/nep/  SCATTER.TAB          File  8 - 1.1.7    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67   438 
             data/nep/ SENTEMP1.TAB             SENTEMP1.TAB    GP-J-NEP-3-ENTRY-V1.0 1998-12-03   60   546 
             data/nep/ SENTEMP2.TAB             SENTEMP2.TAB    GP-J-NEP-3-ENTRY-V1.0 1998-12-03   60   546 
             data/nep/ SRCALIGN.TAB          File  4 - 1.1.3    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67    88 
             data/nep/ TEMPVOLT.TAB          File  5 - 1.1.4    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   56    44 
             data/nep/   XSEC11.TAB        File 10 - 2.2.1.1    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67   410 
             data/nep/   XSEC12.TAB        File 11 - 2.2.1.2    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67   409 
             data/nep/   XSEC21.TAB        File 12 - 2.2.2.1    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67   410 
             data/nep/   XSEC22.TAB        File 13 - 2.2.2.2    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67   410 
             data/nep/   XSEC31.TAB        File 14 - 2.2.3.1    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67   410 
             data/nep/   XSEC32.TAB        File 15 - 2.2.3.2    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67   410 
             data/nep/   XSEC41.TAB        File 16 - 2.2.4.1    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67   410 
             data/nep/   XSEC42.TAB        File 17 - 2.2.4.2    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67   410 
             data/nep/   XSEC51.TAB        File 18 - 2.2.5.1    GP-J-NEP-3-ENTRY-V1.0 1995-12-07   67   409 
