TIME (SECONDS),PRESSURE (BARS),TEMPERATURE (KELVINS),ALTITUDE (KILOMETERS),FORWARD CHANNEL (DEGREES CELSIUS),BACKWARD CHANNEL (DEGREES CELSIUS),5.8 DEGREES (COUNTS),16 DEGREES (COUNTS),40 DEGREES (COUNTS),70 DEGREES (COUNTS),178 DEGREES (COUNTS)
3262.3,19.55,413.65,-125.6,99.33,98.02,2537,1077,3077,3127,7565
3270.3,19.61,414.05,-125.9,99.44,98.24,2541,1078,3082,3132,7596
3278.3,19.68,414.45,-126.1,99.53,98.45,2544,1079,3086,3135,7626
3286.3,19.74,414.85,-126.4,99.63,98.67,2547,1080,3090,3140,7658
3294.3,19.81,415.35,-126.6,99.72,98.88,2550,1081,3094,3144,7688
3302.3,19.88,415.75,-126.9,99.81,99.09,2553,1082,3097,3147,7718
3310.3,19.95,416.15,-127.1,99.89,99.3,2556,1083,3101,3151,7749
3314.3,19.98,416.35,-127.2,99.93,99.41,2557,1083,3102,3153,7765
3318.3,20.01,416.55,-127.4,99.97,99.51,2559,1084,3104,3154,7779
3326.3,20.08,417.05,-127.6,100.05,99.72,2561,1085,3107,3158,7810
3334.3,20.15,417.45,-127.9,100.12,99.93,2564,1085,3110,3161,7840
3342.3,20.22,417.85,-128.1,100.19,100.13,2566,1086,3113,3164,7869
3350.3,20.28,418.25,-128.4,100.26,100.34,2568,1087,3116,3167,7900
3358.3,20.35,418.75,-128.6,100.32,100.54,2571,1088,3119,3169,7929
3366.3,20.42,419.15,-128.9,100.38,100.74,2573,1088,3121,3172,7959
3374.3,20.48,419.55,-129.1,100.43,100.94,2574,1089,3123,3174,7988
3382.3,20.55,419.95,-129.4,100.49,101.14,2576,1089,3126,3176,8018
3390.3,20.62,420.35,-129.6,100.53,101.34,2578,1090,3127,3178,8047
3394.3,20.66,420.65,-129.7,100.56,101.44,2579,1090,3129,3179,8062
3398.3,20.69,420.85,-129.9,100.58,101.54,2579,1090,3129,3180,8077
3406.3,20.76,421.25,-130.1,100.62,101.74,2581,1091,3131,3182,8106
3414.3,20.83,421.65,-130.4,100.66,101.93,2582,1091,3133,3184,8135
3422.3,20.89,422.05,-130.6,100.7,102.13,2583,1092,3134,3185,8164
3430.3,20.96,422.55,-130.9,100.73,102.32,2584,1092,3136,3187,8193
3438.3,21.03,422.95,-131.2,100.76,102.51,2585,1092,3137,3188,8221
3446.3,21.1,423.35,-131.4,100.78,102.71,2586,1092,3138,3189,8251
3454.3,21.17,423.75,-131.7,100.81,102.9,2587,1093,3139,3190,8280
3462.3,21.24,424.15,-131.9,100.82,103.09,2587,1093,3139,3191,8308
3470.3,21.3,424.65,-132.2,100.84,103.28,2588,1093,3140,3191,8337
3475.3,21.34,424.85,-132.3,100.85,103.4,2589,1093,3141,3192,8355
3479.3,21.38,425.05,-132.5,100.85,103.49,2589,1093,3141,3192,8368
