TIME (SECONDS),PRESSURE (BARS),5.8 DEGREES,16 DEGREES,40 DEGREES,70 DEGREES,178 DEGREES
-2.6,0.3981,3.353075170842825,6.070460704607046,6.345991561181434,7.314285714285714,-25.54421768707483
0.4,0.4058,2.109090909090909,3.130434782608696,3.361344537815126,3.663299663299663,-35.98639455782313
3.4,0.4136,0.9049773755656108,0.6956521739130435,1.2384937238493725,1.1043771043771045,27.90011350737798
6.4,0.4214,0.8288288288288288,0.5760869565217391,1.1333333333333333,0.9966329966329966,29.024943310657598
9.4,0.4292,0.9348314606741572,0.782608695652174,0.9294605809128632,0.7811447811447811,12.482993197278912
12.4,0.437,0.9664429530201344,0.7391304347826086,0.3298969072164948,0.202020202020202,1.232163080407701
15.4,0.4449,0.7839643652561247,0.6086956521739131,0.3203285420944558,0.1952861952861952,0.9773755656108597
18.4,0.4527,0.7079646017699115,0.5652173913043478,0.3183673469387755,0.1885521885521885,0.903954802259887
21.4,0.4606,0.7400881057268722,0.5869565217391305,0.2920892494929006,0.1747899159663865,0.9390519187358917
24.4,0.4685,0.7017543859649122,0.5434782608695652,0.2983870967741935,0.1747899159663865,0.8468468468468469
28.0,0.478,0.6623093681917211,0.5434782608695652,0.288,0.1677852348993288,0.7730337078651686
32.0,0.4886,0.6565874730021598,0.5217391304347826,0.2619047619047619,0.1742043551088777,0.7516778523489933
36.0,0.4992,0.5481798715203426,0.4456521739130434,0.2593320235756385,0.1669449081803005,0.5172798216276477
40.0,0.5098,0.5180467091295117,0.4456521739130434,0.2723735408560311,0.1666666666666666,0.4439511653718091
44.0,0.5204,0.5221052631578947,0.4336043360433604,0.2774566473988439,0.1661129568106312,0.45916114790286977
48.0,0.5311,0.6012526096033403,0.4878048780487805,0.2819047619047619,0.1721854304635761,0.6498353457738749
52.0,0.5417,0.5289256198347108,0.4432432432432432,0.263653483992467,0.165016501650165,0.4890829694323144
56.0,0.5525,0.556237218813906,0.4540540540540541,0.2681564245810056,0.1710526315789473,0.5206073752711496
60.0,0.5632,0.6477732793522267,0.4959568733153638,0.2799263351749539,0.1833060556464811,0.6724137931034483
64.0,0.574,0.6092184368737475,0.4946236559139785,0.2768670309653916,0.1892332789559543,0.5310492505353319
68.7,0.5865,0.601980198019802,0.5053763440860215,0.2728904847396768,0.1750405186385737,0.49256900212314225
73.7,0.6001,0.5625,0.5254691689008043,0.2756183745583039,0.1806451612903225,0.38696109358569925
78.7,0.6137,0.5240847784200385,0.5561497326203209,0.271304347826087,0.1858974358974359,0.3
83.7,0.6273,0.5171102661596958,0.576,0.2808219178082192,0.1844197138314785,0.2639175257731959
88.7,0.641,0.5692883895131086,0.6153846153846154,0.2765598650927487,0.1895734597156398,0.29357798165137616
93.7,0.6547,0.5608856088560885,0.6243386243386243,0.2852404643449419,0.1755485893416928,0.27419354838709675
98.7,0.6685,0.5818181818181818,0.6754617414248021,0.2805872756933116,0.1928460342146189,0.25523429710867396
103.7,0.6824,0.6021505376344086,0.6719160104986877,0.282051282051282,0.1975308641975308,0.26798029556650244
108.7,0.6963,0.5925925925925926,0.6701570680628273,0.2839116719242902,0.2021439509954058,0.249269717624148
113.7,0.7102,0.6121739130434782,0.6684073107049608,0.2728682170542635,0.1881638846737481,0.24639076034648702
119.3,0.726,0.6564102564102564,0.7064935064935065,0.2796352583586626,0.2045112781954887,0.2884250474383302
125.3,0.7429,0.7248322147651006,0.7441860465116279,0.2742175856929955,0.1904761904761904,0.31401869158878504
131.3,0.7598,0.7116968698517299,0.7403598971722365,0.2744525547445255,0.188235294117647,0.3683241252302026
137.3,0.7769,0.7237479806138933,0.7365728900255755,0.2861230329041488,0.1921397379912663,0.3916591115140526
143.3,0.794,0.8634920634920635,0.8142493638676844,0.2745098039215686,0.1899280575539568,0.3853702051739518
149.3,0.8111,0.7975077881619937,0.7272727272727273,0.2633744855967078,0.1877667140825035,0.421792618629174
155.3,0.8284,0.7828746177370031,0.7236180904522613,0.2584118438761776,0.1856540084388185,0.4290657439446367
161.3,0.8457,0.7687687687687688,0.72,0.2582345191040843,0.1722222222222222,0.46337308347529815
167.3,0.8632,0.8023598820058997,0.7543424317617866,0.2532299741602067,0.1703296703296703,0.4559932942162615
173.3,0.8807,0.8115942028985508,0.7506172839506173,0.2534854245880862,0.1628222523744912,0.5016501650165016
180.0,0.9003,0.7954545454545454,0.7450980392156863,0.2478314745972738,0.1606425702811245,0.4931062449310625
187.0,0.9209,0.7566063977746871,0.7007299270072993,0.2375757575757575,0.1638044914134742,0.4840764331210191
194.0,0.9417,0.7629427792915532,0.6570048309178744,0.2417061611374407,0.1510416666666666,0.4628616106333073
201.0,0.9625,0.7700534759358288,0.6906474820143885,0.2317497103128621,0.1386392811296534,0.5038402457757296
208.0,0.9835,0.837696335078534,0.7238095238095238,0.2312925170068027,0.1265822784810126,0.5675471698113208
215.0,1.005,0.7804878048780488,0.7186761229314421,0.2175360710321864,0.1198501872659176,0.5218680504077094
222.0,1.026,1.0881612090680102,0.97423887587822,0.2391304347826087,0.1182266009852216,0.7463556851311953
229.0,1.047,1.1866501854140914,1.041860465116279,0.2385516506922257,0.1069258809234507,0.8252148997134671
236.0,1.069,1.2427184466019416,1.071593533487298,0.2296450939457202,0.0958083832335329,0.9020436927413672
243.0,1.09,1.296781883194279,1.0275229357798166,0.2292732855680655,0.0945626477541371,0.9757449757449758
250.7,1.114,1.2710280373831775,0.9454545454545454,0.2164328657314629,0.0885780885780885,0.9149081007488087
