TIME (SECONDS),PRESSURE (BARS),M5.8 CROSS SECTION (METER^-1 STERADIAN^-1),M16 CROSS SECTION (METER^-1 STERADIAN^-1),M40 CROSS SECTION (METER^-1 STERADIAN^-1),M70 CROSS SECTION (METER^-1 STERADIAN^-1),M178 CROSS SECTION (METER^-1 STERADIAN^-1)
2404.3,12.82,-0.0003265,-0.0002971,-4.829e-05,-3.501e-05,-7.036e-06
2412.3,12.87,-0.0005773,-0.0003786,-7.422e-05,-6.582e-05,-6.116e-06
2420.3,12.93,-0.0005924,-0.0003822,-8.325e-05,-7.904e-05,-6.232e-06
2428.3,12.99,-0.0005896,-0.0003736,-8.852e-05,-8.548e-05,-4.745e-06
2436.3,13.05,-0.0006525,-0.0003901,-7.733e-05,-8.508e-05,-2.408e-06
2444.3,13.11,-0.0006136,-0.0003691,-7.369e-05,-6.771e-05,-2.471e-06
2452.3,13.17,-0.0005923,-0.0004117,-7.639e-05,-7.569e-05,-2.716e-06
2460.3,13.23,-0.0005768,-0.0004039,-7.719e-05,-7.829e-05,-2.657e-06
2468.3,13.29,-0.0005918,-0.0004094,-8.438e-05,-8.48e-05,-3.118e-06
2476.3,13.35,-0.0006562,-0.0004155,-8.2e-05,-9.45e-05,-2.3e-06
2484.3,13.41,-0.0006537,-0.0004224,-8.476e-05,-0.0001012,-2.823e-06
2492.3,13.47,-0.0005957,-0.0004301,-8.754e-05,-9.531e-05,-3.644e-06
2500.3,13.53,-0.0007251,-0.0004671,-9.037e-05,-0.0001085,-3.314e-06
2508.3,13.59,-0.0006745,-0.0004924,-9.325e-05,-0.0001155,-4.203e-06
2516.3,13.65,-0.0007706,-0.0005058,-9.361e-05,-0.0001195,-4.28e-06
2524.3,13.71,-0.0007412,-0.0005061,-9.664e-05,-0.0001204,-3.584e-06
2532.3,13.77,-0.0008108,-0.000524,-9.716e-05,-0.0001314,-3.422e-06
2540.3,13.83,-0.0007318,-0.0005619,-0.0001057,-0.0001328,-4.836e-06
2548.3,13.89,-0.0007405,-0.000589,-0.0001065,-0.0001413,-5.052e-06
2556.3,13.95,-0.0007734,-0.0006407,-0.0001075,-0.0001572,-5.017e-06
2564.3,14.01,-0.0008909,-0.0006843,-0.0001087,-0.0001603,-4.277e-06
2572.3,14.07,-0.000917,-0.0007616,-0.0001211,-0.0001712,-4.972e-06
2580.3,14.13,-0.001006,-0.0008388,-0.0001202,-0.0001869,-6.224e-06
2588.3,14.19,-0.001038,-0.0009457,-0.0001167,-0.0001895,-4.974e-06
2596.3,14.25,-0.001139,-0.001107,-0.0001397,-0.0002131,-6.923e-06
2604.3,14.31,-0.001307,-0.001397,-0.0001373,-0.000236,-6.599e-06
2612.3,14.37,-0.001539,-0.001821,-0.0001446,-0.0002415,-7.377e-06
2620.3,14.43,-0.001765,-0.003083,-0.0001627,-0.0002876,-6.982e-06
2628.3,14.5,-0.002176,-0.009098,-0.0001831,-0.0003141,-7.944e-06
2636.3,14.56,-0.002662,0.0075,-0.0001927,-0.0003564,-1.017e-05
2644.3,14.62,-0.004092,0.002639,-0.0002048,-0.0004436,-8.525e-06
2652.3,14.68,-0.009722,0.001484,-0.0002325,-0.0005353,-1.203e-05
2660.3,14.74,0.02353,0.0009609,-0.0002456,-0.000728,-1.314e-05
2668.3,14.8,0.005067,0.0007505,-0.0002941,-0.001116,-1.651e-05
2677.3,14.86,0.002926,0.0006108,-0.0003682,-0.002763,-2.222e-05
2685.3,14.93,0.001839,0.0004683,-0.0004025,0.005274,-3.353e-05
2693.3,14.99,0.001465,0.0004158,-0.0005557,0.001273,-6.144e-05
2701.3,15.05,0.001075,0.0003492,-0.0009008,0.000737,0.0009806
2709.3,15.11,0.0009157,0.0002902,-0.002,0.0004899,4.629e-05
2717.3,15.17,0.0008133,0.0002559,0.008181,0.0003757,2.584e-05
2725.3,15.23,0.0006368,0.0002224,0.001264,0.00029,1.765e-05
2733.3,15.3,0.00055,0.0001947,0.0007088,0.000232,1.157e-05
2741.3,15.36,0.0004904,0.0001717,0.0004525,0.0001905,9.419e-06
2749.3,15.42,0.0004663,0.0001594,0.0003332,0.000167,7.754e-06
2757.3,15.48,0.0003904,0.0001385,0.0002718,0.0001413,5.931e-06
2765.3,15.55,0.0003817,0.0001326,0.0002179,0.0001215,5.127e-06
2773.3,15.61,0.0003316,0.0001244,0.0001881,0.0001055,4.19e-06
2781.3,15.67,0.0003099,0.0001122,0.000158,9.237e-05,3.551e-06
2789.3,15.73,0.0002723,0.0001059,0.0001409,8.517e-05,3.407e-06
2797.3,15.8,0.0002646,9.617e-05,0.0001217,7.232e-05,2.626e-06
2805.3,15.86,0.0002347,8.764e-05,0.0001016,6.747e-05,2.506e-06
2813.3,15.92,0.0002222,8.169e-05,9.349e-05,5.79e-05,2.291e-06
2821.3,15.98,0.0002076,7.924e-05,8.29e-05,5.454e-05,2.06e-06
2829.3,16.05,0.0002055,7.817e-05,7.724e-05,4.935e-05,1.899e-06
2837.3,16.11,0.0001948,7.308e-05,6.915e-05,4.472e-05,1.783e-06
2845.3,16.18,0.0001807,7.318e-05,6.24e-05,4.077e-05,1.592e-06
2853.3,16.24,0.0001787,7.194e-05,5.896e-05,3.892e-05,1.401e-06
2861.3,16.3,0.0001724,6.771e-05,5.369e-05,3.572e-05,1.26e-06
2869.3,16.36,0.0001593,6.568e-05,5.108e-05,3.152e-05,1.224e-06
2877.3,16.43,0.0001542,6.798e-05,4.688e-05,3.037e-05,1.225e-06
2885.3,16.49,0.0001493,6.348e-05,4.318e-05,2.812e-05,1.13e-06
2893.3,16.55,0.0001391,6.238e-05,3.991e-05,2.612e-05,1.061e-06
2901.3,16.62,0.0001298,6.129e-05,3.701e-05,2.432e-05,8.801e-07
2909.3,16.68,0.0001265,6.285e-05,3.443e-05,2.271e-05,8.19e-07
2917.3,16.75,0.0001185,5.913e-05,3.207e-05,2.124e-05,8.49e-07
2925.3,16.81,0.0001115,5.584e-05,3.119e-05,1.994e-05,7.581e-07
2933.3,16.87,0.0001051,5.506e-05,2.819e-05,1.878e-05,6.464e-07
2941.3,16.94,9.942e-05,5.224e-05,2.655e-05,1.699e-05,6.167e-07
2949.3,17.0,9.425e-05,4.969e-05,2.508e-05,1.609e-05,5.442e-07
2957.3,17.06,8.959e-05,4.926e-05,2.376e-05,1.527e-05,4.969e-07
2965.3,17.13,8.54e-05,4.708e-05,2.258e-05,1.454e-05,4.235e-07
2973.3,17.19,8.162e-05,4.512e-05,2.153e-05,1.388e-05,4.166e-07
2981.3,17.26,7.824e-05,4.335e-05,2.058e-05,1.272e-05,3.217e-07
2989.3,17.32,7.521e-05,4.176e-05,1.975e-05,1.221e-05,3.458e-07
2997.3,17.39,7.246e-05,4.186e-05,1.899e-05,1.176e-05,3.122e-07
3005.3,17.45,7.009e-05,4.056e-05,1.762e-05,1.137e-05,2.658e-07
3013.3,17.51,6.801e-05,3.943e-05,1.707e-05,1.102e-05,2.719e-07
3021.3,17.58,6.622e-05,3.844e-05,1.727e-05,1.073e-05,2.471e-07
3029.3,17.64,6.469e-05,3.76e-05,1.686e-05,1.047e-05,2.389e-07
3037.3,17.71,6.343e-05,3.691e-05,1.651e-05,1.027e-05,2.135e-07
3045.3,17.77,6.49e-05,3.77e-05,1.624e-05,1.01e-05,2.162e-07
3053.3,17.84,6.168e-05,3.727e-05,1.604e-05,9.978e-06,2.064e-07
3061.3,17.9,6.362e-05,3.699e-05,1.529e-05,9.898e-06,2.171e-07
3069.3,17.97,6.339e-05,3.686e-05,1.585e-05,9.861e-06,1.971e-07
3078.3,18.03,6.345e-05,3.689e-05,1.525e-05,9.423e-06,2.004e-07
3086.3,18.1,6.381e-05,3.709e-05,1.596e-05,9.928e-06,1.83e-07
3094.3,18.16,6.449e-05,3.747e-05,1.613e-05,1.004e-05,1.805e-07
3102.3,18.23,6.553e-05,3.804e-05,1.641e-05,9.739e-06,1.687e-07
3110.3,18.29,6.696e-05,3.883e-05,1.678e-05,1.043e-05,1.324e-07
3118.3,18.36,6.882e-05,3.985e-05,1.727e-05,1.024e-05,1.262e-07
3126.3,18.42,7.118e-05,4.115e-05,1.72e-05,1.11e-05,1.298e-07
3134.3,18.49,7.412e-05,4.275e-05,1.794e-05,1.104e-05,1.367e-07
3142.3,18.55,7.774e-05,4.632e-05,1.886e-05,1.214e-05,1.409e-07
3150.3,18.62,8.529e-05,4.88e-05,2e-05,1.285e-05,1.484e-07
3158.3,18.69,-9.999,-9.999,-9.999,-9.999,1.475e-07
3166.3,18.75,-9.999,-9.999,-9.999,-9.999,1.561e-07
3174.3,18.82,-9.999,-9.999,-9.999,-9.999,1.624e-07
3182.3,18.88,-9.999,-9.999,-9.999,-9.999,1.754e-07
3190.3,18.95,-9.999,-9.999,-9.999,-9.999,1.745e-07
3198.3,19.01,-9.999,-9.999,-9.999,-9.999,1.866e-07
3206.3,19.08,-9.999,-9.999,-9.999,-9.999,2e-07
3214.3,19.15,-9.999,-9.999,-9.999,-9.999,2.055e-07
3222.3,19.21,-9.999,-9.999,-9.999,-9.999,2.19e-07
3230.3,19.28,-9.999,-9.999,-9.999,-9.999,2.311e-07
