TIME (SECONDS),asi_descent: ALTITUDE (KM),asi_descent: PRESSURE (BARS),asi_descent: TEMPERATURE (KELVINS),asi_descent: DENSITY (KG/M^3),asi_descent: GRAVITY (M/S^2),asi_descent: dz/dt (M/S),asi_descent: dT/dz (KELVINS/KILOMETER),dwe_wind: TEMPERATURE (KELVINS),dwe_wind: PRESSURE (BARS),dwe_wind: WIND (METER SECOND^-1),nfr_mctcnfdn: A (broad infrared) (W/m^2),nfr_mctcnfdn: B (solar radiation) (W/m^2),nfr_mctcnfdn: C (water absorption) (W/m^2),nfr_mctcnfdn: D (water emission) (W/m^2),nfr_mctcnfdn: E (methane absorption) (W/m^2),nep_scatter: PRESSURE (BARS),nep_scatter: 5.8 DEGREES (COUNTS),nep_scatter: 16 DEGREES (COUNTS),nep_scatter: 40 DEGREES (COUNTS),nep_scatter: 70 DEGREES (COUNTS),nep_scatter: 178 DEGREES (COUNTS),nep_scatter_baseline_subtracted: PRESSURE (BARS),nep_scatter_baseline_subtracted: 5.8 DEGREES (COUNTS),nep_scatter_baseline_subtracted: 16 DEGREES (COUNTS),nep_scatter_baseline_subtracted: 40 DEGREES (COUNTS),nep_scatter_baseline_subtracted: 70 DEGREES (COUNTS),nep_scatter_baseline_subtracted: 178 DEGREES (COUNTS),nep_scatter_baseline_divided: PRESSURE (BARS),nep_scatter_baseline_divided: 5.8 DEGREES,nep_scatter_baseline_divided: 16 DEGREES,nep_scatter_baseline_divided: 40 DEGREES,nep_scatter_baseline_divided: 70 DEGREES,nep_scatter_baseline_divided: 178 DEGREES,nep_xsec62: PRESSURE (BARS),nep_xsec62: M5.8 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M16 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M40 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M70 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M178 CROSS SECTION (METER^-1 STERADIAN^-1)
-2.6,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.3981,1472,2240,3008,4352,-22530,0.3981,1033,1871,2534,3757,-23412,0.3981,3.3531,6.0705,6.346,7.3143,-25.5442,0.3981,0.0008,0.0006,0.0003,0.0004,-0.0001
0.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4058,928,1152,1600,2176,-31740,0.4058,488,784,1124,1582,-32622,0.4058,2.1091,3.1304,3.3613,3.6633,-35.9864,0.4058,0.0004,0.0003,0.0001,0.0002,-0.0002
3.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4136,400,256,592,656,24580,0.4136,-42,-112,114,62,23699,0.4136,0.905,0.6957,1.2385,1.1044,27.9001,0.4136,0.0001,0.0,0.0,0.0,0.0002
6.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4214,368,212,544,592,25600,0.4214,-76,-156,64,-2,24718,0.4214,0.8288,0.5761,1.1333,0.9966,29.0249,0.4214,0.0001,0.0,0.0,0.0,0.0002
9.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4292,416,288,448,464,11010,0.4292,-29,-80,-34,-130,10128,0.4292,0.9348,0.7826,0.9295,0.7811,12.483,0.4292,0.0001,0.0,0.0,0.0,0.0001
12.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.437,432,272,160,120,1088,0.437,-15,-96,-325,-474,205,0.437,0.9664,0.7391,0.3299,0.202,1.2322,0.437,0.0001,0.0,-0.0,-0.0,0.0
14.2,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,30.522,-6.474,-2.861,15.378,-4.507,0.441,392,248,158,118,976,0.44095,-56,-120,-328,-476,92,0.441,0.8752,0.6739,0.3251,0.1987,1.1048,0.441,0.0001,0.0,-0.0,-0.0,0.0
15.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,22.1773,-5.567,-1.8943,11.2323,-3.851,0.4449,352,224,156,116,864,0.4449,-97,-144,-331,-478,-20,0.4449,0.784,0.6087,0.3203,0.1953,0.9774,0.4449,0.0001,0.0,-0.0,-0.0,0.0
18.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,13.8327,-4.66,-0.9277,7.0867,-3.195,0.4527,320,208,156,112,800,0.4527,-132,-160,-334,-482,-85,0.4527,0.708,0.5652,0.3184,0.1886,0.904,0.4527,0.0,0.0,-0.0,-0.0,0.0
18.8,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.488,-3.753,0.039,2.941,-2.539,0.4553,325,211,152,109,811,0.4553333333333333,-127,-157,-339,-485,-75,0.4553,0.7187,0.5725,0.3096,0.184,0.9157,0.4553,0.0,0.0,-0.0,-0.0,0.0
19.2,17.291,0.4681,130,0.1,23.265,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.5428,-4.0358,0.084,2.9818,-2.688,0.458,331,213,148,107,821,0.4579666666666667,-123,-155,-344,-488,-64,0.458,0.7294,0.5797,0.3008,0.1794,0.9274,0.458,0.0,0.0,-0.0,-0.0,0.0
21.4,17.1707,0.4709,130,0.1004,23.265,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.5975,-4.3185,0.129,3.0225,-2.837,0.4606,336,216,144,104,832,0.4606,-118,-152,-349,-491,-54,0.4606,0.7401,0.587,0.2921,0.1748,0.9391,0.4606,0.0,0.0,-0.0,-0.0,0.0
24.4,17.0505,0.4737,130,0.1009,23.265,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.6523,-4.6012,0.174,3.0632,-2.986,0.4685,320,200,148,104,752,0.4685,-136,-168,-348,-491,-136,0.4685,0.7018,0.5435,0.2984,0.1748,0.8468,0.4685,0.0,0.0,-0.0,-0.0,0.0
24.8,16.9302,0.4766,131,0.1013,23.265,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.707,-4.884,0.219,3.104,-3.135,0.4717,315,200,147,103,731,0.4716666666666667,-142,-168,-351,-493,-158,0.4717,0.6886,0.5435,0.2949,0.1725,0.8222,0.4717,0.0,0.0,-0.0,-0.0,0.0
25.3,16.81,0.4794,131,0.1017,23.265,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.808,-4.3515,0.2895,3.139,-2.815,0.4748,309,200,145,101,709,0.4748333333333333,-149,-168,-353,-494,-180,0.4748,0.6755,0.5435,0.2915,0.1701,0.7976,0.4748,0.0,0.0,-0.0,-0.0,0.0
28.0,16.5695,0.4851,132,0.1025,23.2655,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.909,-3.819,0.36,3.174,-2.495,0.478,304,200,144,100,688,0.478,-155,-168,-356,-496,-202,0.478,0.6623,0.5435,0.288,0.1678,0.773,0.478,0.0,0.0,-0.0,-0.0,0.0
30.2,16.329,0.4908,132,0.1033,23.266,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,6.01,-3.2865,0.4305,3.209,-2.175,0.4815,304,197,140,101,683,0.4815333333333333,-156,-171,-361,-495,-209,0.4815,0.6604,0.5362,0.2793,0.1699,0.7659,0.4815,0.0,0.0,-0.0,-0.0,0.0
30.8,16.169,0.4947,132,0.1039,23.266,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,6.111,-2.754,0.501,3.244,-1.855,0.4851,304,195,136,103,677,0.4850666666666666,-158,-173,-367,-494,-215,0.4851,0.6585,0.529,0.2706,0.1721,0.7588,0.4851,0.0,-0.0,-0.0,-0.0,0.0
32.0,16.009,0.4986,133,0.1044,23.266,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.9792,-4.7282,0.3765,3.241,-2.9792,0.4886,304,192,132,104,672,0.4886,-159,-176,-372,-493,-222,0.4886,0.6566,0.5217,0.2619,0.1742,0.7517,0.4886,0.0,-0.0,-0.0,-0.0,0.0
35.4,15.849,0.5025,133,0.105,23.266,-92.1,-2.083,-99999.0,-99999.0,-99999.0,5.8475,-6.7025,0.252,3.238,-4.1035,0.4939,280,178,132,102,568,0.4939,-185,-190,-374,-496,-328,0.4939,0.6024,0.4837,0.2606,0.1706,0.6345,0.4939,0.0,-0.0,-0.0,-0.0,0.0
36.0,15.729,0.5054,133,0.0787,23.2662,-92.4,-2.0832,-99999.0,-99999.0,-99999.0,5.7158,-8.6768,0.1275,3.235,-5.2278,0.4992,256,164,132,100,464,0.4992,-211,-204,-377,-499,-433,0.4992,0.5482,0.4457,0.2593,0.1669,0.5173,0.4992,-0.0,-0.0,-0.0,-0.0,0.0
36.8,15.609,0.5084,134,0.0525,23.2665,-92.7,-2.0835,-99999.0,-99999.0,-99999.0,5.584,-10.651,0.003,3.232,-6.352,0.5045,250,164,136,100,432,0.5045,-219,-204,-376,-500,-467,0.5045,0.5331,0.4457,0.2659,0.1668,0.4806,0.5045,-0.0,-0.0,-0.0,-0.0,0.0
40.0,15.489,0.5113,134,0.0262,23.2667,-93.0,-2.0838,-99999.0,-99999.0,-99999.0,5.793,-8.3963,0.134,3.2637,-5.0723,0.5098,244,164,140,100,400,0.5098,-227,-204,-374,-500,-501,0.5098,0.518,0.4457,0.2724,0.1667,0.444,0.5098,-0.0,-0.0,-0.0,-0.0,0.0
41.0,15.369,0.5143,134,0.0,23.267,-93.3,-2.084,-99999.0,-99999.0,-99999.0,6.002,-6.1417,0.265,3.2953,-3.7927,0.5133,245,163,141,100,405,0.5133333333333333,-227,-206,-374,-501,-497,0.5133,0.5194,0.4416,0.2741,0.1665,0.449,0.5133,-0.0,-0.0,-0.0,-0.0,0.0
42.8,15.2093,0.5183,134,0.0361,23.267,-95.3333,-2.0847,-99999.0,-99999.0,-99999.0,6.211,-3.887,0.396,3.327,-2.513,0.5169,247,161,143,100,411,0.5168666666666667,-227,-207,-375,-501,-494,0.5169,0.5208,0.4376,0.2758,0.1663,0.4541,0.5169,-0.0,-0.0,-0.0,-0.0,0.0
44.0,15.0497,0.5223,135,0.0722,23.267,-97.3667,-2.0853,-99999.0,-99999.0,-99999.0,6.2232,-3.9198,0.354,3.3192,-2.5668,0.5204,248,160,144,100,416,0.5204,-227,-209,-375,-502,-490,0.5204,0.5221,0.4336,0.2775,0.1661,0.4592,0.5204,-0.0,-0.0,-0.0,-0.0,0.0
45.7,14.89,0.5263,135,0.1083,23.267,-99.4,-2.086,-99999.0,-99999.0,-99999.0,6.2355,-3.9525,0.312,3.3115,-2.6205,0.5257,268,170,146,102,504,0.5257499999999999,-209,-199,-376,-501,-404,0.5257,0.5617,0.4607,0.2797,0.1691,0.5545,0.5257,-0.0,-0.0,-0.0,-0.0,0.0
48.0,14.73,0.5303,135,0.1089,23.267,-100.0667,-2.086,-99999.0,-99999.0,-99999.0,6.2478,-3.9852,0.27,3.3038,-2.6742,0.5311,288,180,148,104,592,0.5311,-191,-189,-377,-500,-319,0.5311,0.6013,0.4878,0.2819,0.1722,0.6498,0.5311,0.0,-0.0,-0.0,-0.0,0.0
48.8,14.57,0.5344,136,0.1094,23.267,-100.7333,-2.086,-99999.0,-99999.0,-99999.0,6.26,-4.018,0.228,3.296,-2.728,0.5346,277,175,145,103,544,0.5346333333333333,-203,-195,-382,-502,-369,0.5346,0.5771,0.473,0.2758,0.1698,0.5963,0.5346,0.0,-0.0,-0.0,-0.0,0.0
50.5,14.41,0.5385,136,0.11,23.267,-101.4,-2.086,-99999.0,-99999.0,-99999.0,6.2313,-3.985,0.259,3.2553,-2.7087,0.5382,267,169,143,101,496,0.5381666666666667,-216,-200,-386,-504,-418,0.5382,0.553,0.4581,0.2697,0.1674,0.5427,0.5382,-0.0,-0.0,-0.0,-0.0,0.0
52.0,14.2503,0.5426,136,0.1106,23.2673,-99.3333,-2.0863,-99999.0,-99999.0,-99999.0,6.2027,-3.952,0.29,3.2147,-2.6893,0.5417,256,164,140,100,448,0.5417,-228,-206,-391,-506,-468,0.5417,0.5289,0.4432,0.2637,0.165,0.4891,0.5417,-0.0,-0.0,-0.0,-0.0,0.0
54.8,14.0907,0.5467,137,0.1111,23.2677,-97.2667,-2.0867,-99999.0,-99999.0,-99999.0,6.174,-3.919,0.321,3.174,-2.67,0.5453,261,165,141,101,459,0.5453,-224,-205,-392,-505,-459,0.5453,0.538,0.4468,0.2652,0.167,0.4996,0.5453,-0.0,-0.0,-0.0,-0.0,0.0
55.3,13.931,0.5508,137,0.1117,23.268,-95.2,-2.087,-99999.0,-99999.0,-99999.0,6.191,-3.7419,0.3405,3.1647,-2.5718,0.5489,267,167,143,103,469,0.5488999999999999,-221,-203,-392,-505,-451,0.5489,0.5471,0.4505,0.2667,0.169,0.5101,0.5489,-0.0,-0.0,-0.0,-0.0,0.0
56.0,13.7713,0.555,137,0.1123,23.268,-93.7333,-2.0873,-99999.0,-99999.0,-99999.0,6.208,-3.5648,0.36,3.1555,-2.4735,0.5525,272,168,144,104,480,0.5525,-217,-202,-393,-504,-442,0.5525,0.5562,0.4541,0.2682,0.1711,0.5206,0.5525,0.0,-0.0,-0.0,-0.0,0.0
60.0,13.6117,0.5592,138,0.1128,23.268,-92.2667,-2.0877,-99999.0,-99999.0,-99999.0,6.225,-3.3876,0.3795,3.1463,-2.3752,0.5632,320,184,152,112,624,0.5632,-174,-187,-391,-499,-304,0.5632,0.6478,0.496,0.2799,0.1833,0.6724,0.5632,0.0,-0.0,-0.0,-0.0,0.0
60.4,13.452,0.5634,138,0.1134,23.268,-90.8,-2.088,-99999.0,-99999.0,-99999.0,6.242,-3.2105,0.399,3.137,-2.277,0.5668,315,184,152,113,581,0.5668,-181,-187,-393,-498,-349,0.5668,0.6349,0.4955,0.2789,0.1853,0.6253,0.5668,0.0,-0.0,-0.0,-0.0,0.0
63.7,13.2923,0.5676,138,0.114,23.268,-90.1667,-2.0883,138.5564,0.5704,86.4954,6.259,-3.0334,0.4185,3.1277,-2.1788,0.5704,309,184,152,115,539,0.5704,-188,-188,-395,-498,-393,0.5704,0.6221,0.4951,0.2779,0.1873,0.5782,0.5704,0.0,-0.0,-0.0,-0.0,0.0
64.0,13.1327,0.5719,139,0.1146,23.268,-89.5333,-2.0887,138.7604,0.573,86.4855,6.276,-2.8562,0.438,3.1185,-2.0805,0.574,304,184,152,116,496,0.574,-195,-188,-397,-497,-438,0.574,0.6092,0.4946,0.2769,0.1892,0.531,0.574,0.0,-0.0,-0.0,-0.0,0.0
65.9,12.973,0.5761,139,0.1151,23.268,-88.9,-2.089,138.9644,0.5756,86.4755,6.293,-2.6791,0.4575,3.1093,-1.9822,0.5782,304,185,152,113,485,0.5781666666666666,-197,-187,-400,-501,-451,0.5782,0.6068,0.4982,0.2755,0.1845,0.5182,0.5782,0.0,-0.0,-0.0,-0.0,0.0
68.2,12.8535,0.5793,139,0.1156,23.2682,-90.175,-2.089,139.1683,0.5783,86.4656,6.31,-2.502,0.477,3.1,-1.884,0.5823,304,187,152,111,475,0.5823333333333334,-199,-185,-402,-505,-465,0.5823,0.6044,0.5018,0.2742,0.1798,0.5054,0.5823,0.0,-0.0,-0.0,-0.0,0.0
68.7,12.734,0.5826,140,0.116,23.2685,-91.45,-2.089,139.3723,0.5809,86.4556,6.2515,-2.7135,0.4332,3.1115,-2.0015,0.5865,304,188,152,108,464,0.5865,-201,-184,-405,-509,-478,0.5865,0.602,0.5054,0.2729,0.175,0.4926,0.5865,0.0,-0.0,-0.0,-0.0,0.0
69.0,12.6145,0.5858,140,0.1165,23.2687,-92.725,-2.089,139.5763,0.5835,86.4457,6.193,-2.925,0.3895,3.123,-2.119,0.5899,300,190,153,109,440,0.5899,-207,-182,-406,-509,-504,0.5899,0.5921,0.5104,0.2736,0.1764,0.4662,0.5899,0.0,-0.0,-0.0,-0.0,0.0
71.1,12.495,0.589,140,0.1169,23.269,-94.0,-2.089,139.8332,0.5869,86.4556,6.1345,-3.1365,0.3458,3.1345,-2.2365,0.5933,296,192,154,110,416,0.5932999999999999,-212,-180,-408,-508,-530,0.5933,0.5822,0.5154,0.2743,0.1778,0.4398,0.5933,0.0,-0.0,-0.0,-0.0,0.0
72.8,12.3752,0.5923,140,0.1173,23.269,-94.925,-2.0892,140.0901,0.5902,86.4656,6.076,-3.348,0.302,3.146,-2.354,0.5967,292,194,155,111,392,0.5967,-218,-179,-409,-508,-557,0.5967,0.5724,0.5204,0.2749,0.1792,0.4134,0.5967,0.0,-0.0,-0.0,-0.0,0.0
73.7,12.2555,0.5956,140,0.1178,23.269,-95.85,-2.0895,140.3469,0.5936,86.4755,6.1056,-3.3402,0.355,3.125,-2.3926,0.6001,288,196,156,112,368,0.6001,-224,-177,-410,-508,-583,0.6001,0.5625,0.5255,0.2756,0.1806,0.387,0.6001,0.0,0.0,-0.0,-0.0,0.0
74.3,12.1358,0.5989,141,0.1182,23.269,-96.775,-2.0898,140.6038,0.597,86.4854,6.1352,-3.3324,0.408,3.104,-2.4312,0.6046,283,200,156,113,341,0.6046333333333334,-232,-173,-413,-508,-613,0.6046,0.5497,0.5357,0.2742,0.1824,0.358,0.6046,0.0,0.0,-0.0,-0.0,0.0
76.2,12.016,0.6022,141,0.1186,23.269,-97.7,-2.09,140.8643,0.6004,86.517,6.1648,-3.3246,0.461,3.083,-2.4698,0.6092,277,204,156,115,315,0.6091666666666666,-239,-170,-416,-508,-642,0.6092,0.5369,0.5459,0.2727,0.1841,0.329,0.6092,0.0,0.0,-0.0,-0.0,0.0
78.7,11.8965,0.6055,141,0.1191,23.269,-97.375,-2.0902,141.1248,0.6039,86.5487,6.1944,-3.3168,0.514,3.062,-2.5084,0.6137,272,208,156,116,288,0.6137,-247,-166,-419,-508,-672,0.6137,0.5241,0.5561,0.2713,0.1859,0.3,0.6137,0.0,0.0,-0.0,-0.0,0.0
78.8,11.777,0.6088,142,0.1195,23.269,-97.05,-2.0905,141.3852,0.6074,86.5804,6.224,-3.309,0.567,3.041,-2.547,0.6171,272,210,158,116,280,0.6171,-249,-164,-419,-509,-682,0.6171,0.5223,0.5611,0.2737,0.1855,0.291,0.6171,0.0,0.0,-0.0,-0.0,0.0
79.7,11.6575,0.6121,142,0.12,23.269,-96.725,-2.0908,141.6457,0.6108,86.612,6.247,-3.3895,0.4608,3.0302,-2.5883,0.6205,272,212,160,116,272,0.6205,-250,-162,-420,-510,-693,0.6205,0.5206,0.5661,0.2761,0.1852,0.282,0.6205,0.0,0.0,-0.0,-0.0,0.0
80.8,11.538,0.6155,142,0.1204,23.269,-96.4,-2.091,141.9064,0.6143,86.6641,6.27,-3.47,0.3545,3.0195,-2.6295,0.6239,272,214,162,116,264,0.6239,-252,-161,-420,-512,-704,0.6239,0.5189,0.571,0.2784,0.1848,0.2729,0.6239,0.0,0.0,-0.0,-0.0,0.0
83.7,11.4185,0.6188,142,0.1209,23.2692,-95.625,-2.091,142.1672,0.6178,86.7162,6.293,-3.5505,0.2482,3.0088,-2.6708,0.6273,272,216,164,116,256,0.6273,-254,-159,-420,-513,-714,0.6273,0.5171,0.576,0.2808,0.1844,0.2639,0.6273,0.0,0.0,-0.0,-0.0,0.0
84.8,11.299,0.6222,142,0.1213,23.2695,-94.85,-2.091,142.4279,0.6213,86.7683,6.316,-3.631,0.142,2.998,-2.712,0.6307,280,220,164,117,264,0.630725,-248,-156,-422,-513,-709,0.6307,0.5302,0.5858,0.2798,0.1857,0.2713,0.6307,0.0,0.0,-0.0,-0.0,0.0
85.0,11.1795,0.6256,143,0.1217,23.2697,-94.075,-2.091,142.6886,0.6248,86.8204,6.29,-3.6128,0.1324,2.9964,-2.7002,0.6342,288,224,164,118,272,0.63415,-242,-152,-424,-513,-704,0.6342,0.5432,0.5957,0.2787,0.187,0.2787,0.6342,0.0,0.0,-0.0,-0.0,0.0
86.1,11.06,0.629,143,0.1222,23.27,-93.3,-2.091,143.0357,0.6295,86.9154,6.264,-3.5946,0.1228,2.9948,-2.6884,0.6376,296,228,164,119,280,0.637575,-236,-148,-427,-513,-698,0.6376,0.5562,0.6055,0.2776,0.1883,0.2862,0.6376,0.0,0.0,-0.0,-0.0,0.0
88.7,10.9402,0.6324,143,0.1226,23.27,-92.725,-2.0912,143.3829,0.6343,87.0104,6.238,-3.5764,0.1132,2.9932,-2.6766,0.641,304,232,164,120,288,0.641,-230,-145,-429,-513,-693,0.641,0.5693,0.6154,0.2766,0.1896,0.2936,0.641,0.0,0.0,-0.0,-0.0,0.0
90.3,10.8205,0.6358,144,0.1231,23.27,-92.15,-2.0915,143.73,0.639,87.1054,6.212,-3.5582,0.1036,2.9916,-2.6648,0.6444,304,233,166,118,284,0.644425,-232,-144,-430,-516,-700,0.6444,0.5672,0.6176,0.2787,0.1861,0.2887,0.6444,0.0,0.0,-0.0,-0.0,0.0
90.8,10.7008,0.6392,144,0.1235,23.27,-91.575,-2.0918,143.9838,0.6425,87.1922,6.186,-3.54,0.094,2.99,-2.653,0.6478,304,234,168,116,280,0.64785,-234,-144,-430,-520,-706,0.6478,0.5651,0.6199,0.2809,0.1826,0.2839,0.6478,0.0,0.0,-0.0,-0.0,0.0
91.3,10.581,0.6427,144,0.124,23.27,-91.0,-2.092,144.2376,0.646,87.2789,6.199,-3.5178,0.1024,2.9602,-2.643,0.6513,304,235,170,114,276,0.6512749999999999,-236,-143,-430,-523,-713,0.6513,0.563,0.6221,0.2831,0.1791,0.279,0.6513,0.0,0.0,-0.0,-0.0,0.0
93.7,10.422,0.6473,144,0.1246,23.27,-90.9,-2.092,144.4913,0.6495,87.3656,6.212,-3.4956,0.1108,2.9304,-2.633,0.6547,304,236,172,112,272,0.6547,-238,-142,-431,-526,-720,0.6547,0.5609,0.6243,0.2852,0.1755,0.2742,0.6547,0.0,0.0,-0.0,-0.0,0.0
95.7,10.263,0.6519,145,0.1252,23.27,-90.8,-2.092,144.7451,0.653,87.4524,6.225,-3.4734,0.1192,2.9006,-2.623,0.6582,308,241,172,115,268,0.65815,-236,-137,-434,-524,-727,0.6582,0.5661,0.6371,0.2841,0.1799,0.2695,0.6582,0.0,0.0,-0.0,-0.0,0.0
96.4,10.104,0.6566,145,0.1258,23.27,-90.7,-2.092,144.9927,0.6565,87.5526,6.238,-3.4512,0.1276,2.8708,-2.613,0.6616,312,246,172,118,264,0.6616,-234,-132,-436,-522,-734,0.6616,0.5714,0.6499,0.2829,0.1842,0.2647,0.6616,0.0,0.0,-0.0,-0.0,0.0
96.8,9.9842,0.6601,145,0.1262,23.2702,-90.775,-2.092,145.2403,0.66,87.6528,6.251,-3.429,0.136,2.841,-2.603,0.665,316,251,172,121,260,0.6650499999999999,-232,-128,-438,-521,-740,0.665,0.5766,0.6627,0.2818,0.1885,0.26,0.665,0.0,0.0,-0.0,-0.0,0.0
98.7,9.8645,0.6636,146,0.1267,23.2705,-90.85,-2.092,145.4879,0.6634,87.7531,6.1835,-3.4052,0.1488,2.8932,-2.5865,0.6685,320,256,172,124,256,0.6685,-230,-123,-441,-519,-747,0.6685,0.5818,0.6755,0.2806,0.1928,0.2552,0.6685,0.0,0.0,-0.0,-0.0,0.0
101.0,9.7448,0.6671,146,0.1272,23.2708,-90.925,-2.092,145.7355,0.6669,87.8533,6.116,-3.3815,0.1615,2.9455,-2.57,0.672,324,256,173,125,260,0.671975,-228,-124,-443,-519,-746,0.672,0.5869,0.6746,0.281,0.194,0.2584,0.672,0.0,0.0,-0.0,-0.0,0.0
101.7,9.625,0.6707,146,0.1276,23.271,-91.0,-2.092,145.9832,0.6704,87.968,6.0485,-3.3578,0.1742,2.9978,-2.5535,0.6754,328,256,174,126,264,0.67545,-226,-124,-444,-520,-745,0.6754,0.592,0.6737,0.2813,0.1952,0.2616,0.6754,0.0,0.0,-0.0,-0.0,0.0
102.8,9.5055,0.6742,146,0.1281,23.271,-90.85,-2.092,146.2308,0.674,88.0827,5.981,-3.334,0.187,3.05,-2.537,0.6789,332,256,175,127,268,0.678925,-224,-124,-446,-520,-744,0.6789,0.5971,0.6728,0.2817,0.1964,0.2648,0.6789,0.0,0.0,-0.0,-0.0,0.0
103.7,9.386,0.6778,146,0.1285,23.271,-90.7,-2.092,146.4785,0.6776,88.1974,5.9928,-3.2952,0.2066,2.9878,-2.5522,0.6824,336,256,176,128,272,0.6824,-222,-125,-448,-520,-743,0.6824,0.6022,0.6719,0.2821,0.1975,0.268,0.6824,0.0,0.0,-0.0,-0.0,0.0
106.3,9.2665,0.6814,147,0.129,23.271,-90.55,-2.092,146.7262,0.6811,88.3121,6.0046,-3.2564,0.2262,2.9256,-2.5674,0.687,336,256,177,129,267,0.6870333333333334,-225,-125,-450,-520,-752,0.687,0.599,0.6713,0.2827,0.1991,0.2617,0.687,0.0,0.0,-0.0,-0.0,0.0
107.1,9.147,0.685,147,0.1294,23.271,-90.4,-2.092,146.974,0.6847,88.4404,6.0164,-3.2176,0.2458,2.8634,-2.5826,0.6917,336,256,179,131,261,0.6916666666666667,-228,-126,-452,-521,-762,0.6917,0.5958,0.6707,0.2833,0.2006,0.2555,0.6917,0.0,0.0,-0.0,-0.0,0.0
108.7,9.0275,0.6886,147,0.1299,23.2712,-90.05,-2.092,147.2218,0.6882,88.5686,6.0282,-3.1788,0.2654,2.8012,-2.5978,0.6963,336,256,180,132,256,0.6963,-231,-126,-454,-521,-771,0.6963,0.5926,0.6702,0.2839,0.2021,0.2493,0.6963,0.0,0.0,-0.0,-0.0,0.0
108.8,8.908,0.6922,148,0.1304,23.2715,-89.7,-2.092,147.4696,0.6918,88.6969,6.04,-3.14,0.285,2.739,-2.613,0.6998,340,256,179,130,256,0.699775,-229,-126,-458,-524,-774,0.6998,0.5975,0.6697,0.2812,0.1986,0.2485,0.6998,0.0,0.0,-0.0,-0.0,0.0
111.7,8.7885,0.6958,148,0.1308,23.2717,-89.35,-2.092,147.7174,0.6954,88.8252,5.9848,-3.1445,0.2845,2.5992,-2.607,0.7032,344,256,178,128,256,0.70325,-227,-126,-462,-528,-777,0.7032,0.6024,0.6693,0.2784,0.1952,0.2478,0.7032,0.0,0.0,-0.0,-0.0,0.0
112.2,8.669,0.6995,148,0.1313,23.272,-89.0,-2.092,147.9606,0.699,88.9634,5.9295,-3.149,0.284,2.4595,-2.601,0.7067,348,256,177,126,256,0.706725,-225,-127,-465,-532,-780,0.7067,0.6073,0.6688,0.2756,0.1917,0.2471,0.7067,0.0,0.0,-0.0,-0.0,0.0
113.7,8.5495,0.7032,148,0.1318,23.272,-88.6,-2.092,148.2038,0.7025,89.1016,5.8742,-3.1535,0.2835,2.3198,-2.595,0.7102,352,256,176,124,256,0.7102,-223,-127,-469,-535,-783,0.7102,0.6122,0.6684,0.2729,0.1882,0.2464,0.7102,0.0001,0.0,-0.0,-0.0,0.0
114.8,8.43,0.7068,148,0.1322,23.272,-88.2,-2.092,148.4469,0.7061,89.2398,5.819,-3.158,0.283,2.18,-2.589,0.7142,360,260,178,127,268,0.7141500000000001,-218,-124,-470,-534,-775,0.7142,0.6232,0.6779,0.2746,0.1923,0.2569,0.7142,0.0001,0.0,-0.0,-0.0,0.0
