-181.805  611 2 1
-181.492 1039 1 1
-181.18   625 2 1
-180.977    2 3 1
-180.867 1051 1 1
-180.555  636 2 1
-180.242 1062 1 1
-179.977    1 3 1
-179.93   647 2 1
-179.852  117 5 0
-179.617 1076 1 1
-179.305  660 2 1
-178.992 1090 1 1
-178.977    1 3 1
-178.68   675 2 1
-178.367 1107 1 1
-178.055  694 2 1
-177.977    2 3 1
-177.742 1126 1 1
-177.43   715 2 1
-177.117 1148 1 1
-176.977    2 3 1
-176.805  739 2 1
-176.492 1172 1 1
-176.18   765 2 1
-175.977    2 3 1
-175.867 1199 1 1
-175.555  794 2 1
-175.242 1229 1 1
-174.977    2 3 1
-174.93   825 2 1
-174.617 1259 1 1
-174.305  853 2 1
-173.992 1288 1 1
-173.977    1 3 1
-173.68   882 2 1
-173.367 1319 1 1
-173.055  914 2 1
-172.977    1 3 1
-172.742 1352 1 1
-172.43   948 2 1
-172.117 1385 1 1
-171.977    2 3 1
-171.852  125 8 0
-171.805  982 2 1
-171.492 1418 1 1
-171.18  1013 2 1
-170.977    3 3 1
-170.867 1449 1 1
-170.555 1043 2 1
-170.242 1478 1 1
-169.977    3 3 1
-169.93  1076 2 1
-169.617 1511 1 1
-169.305 1112 2 1
-168.992 1546 1 1
-168.977    3 3 1
-168.68  1147 2 1
-168.367 1583 1 1
-168.055 1183 2 1
-167.977    2 3 1
-167.742 1623 1 1
-167.43  1228 2 1
-167.117 1670 1 1
-166.977    1 3 1
-166.805 1278 2 1
-166.492 1724 1 1
-166.18  1336 2 1
-165.977    2 3 1
-165.867 1787 1 1
-165.555 1406 2 1
-165.242 1867 1 1
-164.977    3 3 1
-164.93  1506 2 1
-164.617 1980 1 1
-164.305 1635 2 1
-163.992 2124 1 1
-163.977    3 3 1
-163.852  119 6 0
-163.68  1796 2 1
-163.367 2296 1 1
-163.055 1977 2 1
-162.977    2 3 1
-162.742 2466 1 1
-162.43  2133 2 1
-162.117 2616 1 1
-161.977    1 3 1
-161.805 2280 2 1
-161.492 2766 1 1
-161.18  2447 2 1
-160.977    1 3 1
-160.867 2951 1 1
-160.555 2640 2 1
-160.242 3146 1 1
-159.977    3 3 1
-159.93  2832 2 1
-159.617 3319 1 1
-159.305 2984 2 1
-158.992 3464 1 1
-158.977    2 3 1
-158.68  3151 2 1
-158.367 3660 1 1
-158.055 3372 2 1
-157.977    2 3 1
-157.742 1093 1 2
-157.43  3679 2 1
-157.117  141 1 2
-156.977    3 3 1
-156.805  141 2 2
-156.492  160 1 2
-156.18   158 2 2
-155.977    4 3 1
-155.867  179 1 2
-155.852  119 7 0
-155.555  180 2 2
-155.242  201 1 2
-154.977    5 3 1
-154.93   201 2 2
-154.617  224 1 2
-154.305  227 2 2
-153.992  252 1 2
-153.977    8 3 1
-153.68   261 2 2
-153.367  293 1 2
-153.055  300 2 2
-152.977    6 3 1
-152.742  336 1 2
-152.43   341 2 2
-152.117  371 1 2
-151.977    2 3 1
-151.805  389 2 2
-151.492  451 1 2
-151.18   489 2 2
-150.977   12 3 1
-150.867  535 1 2
-150.555  552 2 2
-150.242  587 1 2
-149.977   21 3 1
-149.93   607 2 2
-149.617  667 1 2
-149.305  720 2 2
-148.992  765 1 2
-148.977   22 3 1
-148.68   812 2 2
-148.367  862 1 2
-148.055  904 2 2
-147.977   47 3 1
-147.852  115 4 0
-147.742  956 1 2
-147.43   999 2 2
-147.117 1066 1 2
-146.977   31 3 1
-146.805 1148 2 2
-146.492 1206 1 2
-146.18  1260 2 2
-145.977   43 3 1
-145.867 1313 1 2
-145.555 1362 2 2
-145.242 1433 1 2
-144.977   41 3 1
-144.93  1496 2 2
-144.617 1568 1 2
-144.305 1653 2 2
-143.992 1782 1 2
-143.977   75 3 1
-143.68  2025 2 2
-143.367 2166 1 2
-143.055 2270 2 2
-142.977   60 3 1
-142.742 2423 1 2
-142.43  2644 2 2
-142.117 2905 1 2
-141.977   93 3 1
-141.805 3207 2 2
-141.492 3482 1 2
-141.18  3748 2 2
-140.977   83 3 1
-140.867  125 1 3
-140.555  135 2 3
-140.242  146 1 3
-139.977   97 3 1
-139.93   153 2 3
-139.852  117 5 0
-139.617  163 1 3
-139.305  175 2 3
-138.992  188 1 3
-138.977   48 3 1
-138.68   212 2 3
