  0  17 106  49  32  49 107   0  49  33 109  49  64  65 109  49  65 110   3  49  49 109  49  32  17 106
  1  49   1 105   2  49  23 112   1 106  49  48  33 107  49  81 109  49  80  49 110  49  97 112   3  49
  2 113 111  49  96  33 111   0  49  65 109   1  49  65 108  49  64  17 108  49  81 110  49 112  49 112
  3  49 145 114   3 115   0  49 161 115  49 176  49 116  49 161 115   2  49 145 114  49 144  17 113  49
  4 145 114  49 176  32   1 115  49 193 118   3  49 209 119  50   0  65 121  50   1 122   3  50   1 122
  5  49 240  33 121 117   0  49 241 119  49 240  17 119  50   1 121   2  50  33 123  50  48  49 125  50
  6  81 127   3  50  96   1 129  50 112  33 129  50  97 127  50  96  17 126  50  97 127   1  50 129 129
  7  50 144  39 209 131   0  50 193 134   3  50 225 136  51   0  49 139  51  17 139  51  32  33 139  51
  8  33 138   1   0  51  49 139  51  80  33 142  51 113 145   3  51 161 148  51 208  65 151  52   1 154
  9 250 243  32  52  32  55 112   1 157  52  65 159   2  52  65 159  52 112  17 160  52 177 165   2  52
 10 225 169  53  64  49 174   0  53 129 179  53 192  65 184  54   1 187   2  54  49 189  54  64  17 191
 11  54 129 193   1  54 183 112   1 198  55  16  33 204  55 113 211  55 224  49 217  56  49 224   3  56
 12 145 230  56 192  33 234   0  57  33 237   1  57 113 242  57 208  17 248  58  49 255  58 160  50   7
 13  59  50  16   3 115   0  59 162  24  60  16  50  31  60 114  38   2  60 226  43  61  80  18  49  61
 14 194  58  62  64  32   2  67  62 210  76   3  63 130  87  64  48  50  99  64 242 113   2  65 178 124
 15  66  96  18 135 117   0  67  66 148  68  32  18 163  69  50 182   2  70  98 203  71 192  34 227  73
 16  66 253   2  74 240   3  26  76 208  35  57  78 179  85  80 128  19 114  82 115 146   1  84 131 180
 17  86 144  39 211 214   0  88 163 245   3  90 148  19  92  96  52  52  94 116  88  96 160  52 123  98
 18 244 159   2   0 101 116 204 104  96  20 254 107 197  56   2 111 181 126 116 176  53 226 123 198  99
 19 250 243  32 132 192  55 112   7   4 143 135 185   2 154  40  85 163 128  24 232 172 233 143   1 184
 20 122  80 196 160  59  16   0 207 123 168 216 128  44  79 228 205  44   2  68  94  95   8 208  48 141
 21  10   0 158   4  11  55 117   0 180  12 144  80 201  14   0 227  15 192 129   5  18  81  44   6  21
 22   1  85  23  48  33 133  80  28  49 233  12  33 114  40  36 177  82  95  41 178 208  47 209  99  44
 23  53 227 136  47 115  80  59 195 231  66 161 244 124  75 100 236  43  82  21  82  89 146 149 216  98
 24   6 117 111 100 181   7 233 135 104 222  60 151 122  84 181 149 220 135 217 174 164  83   7 192 133
 25   9  22  16 151 117 160  10  32 173  11 179   0 210  14  80 248  22  17  17  39  19 195  97  80  22
 26 161 127  51  25 122   1 176  29 131  50   7  35  50  99  42 147 242 205  47 195  56  62  56  51 185
 27  64   5 215 228  81 160  73  69  18  89  87  53 203  98 247 214 184 116  96  61   4   8  64  70   4
 28 176  81 181 240   5 128  99   6 160  80 111   7  96 124   8   8  96 151   9 240  80 168  11   0 194
 29 250 243  32  13  80 183 127  64 232  15  65   1  17  17  33  34  19  65   1  68  21  81 106  22  24
 30  97 159  27 130 177 214 244  31  18  14  35  36  34 111  41  66 180  39  45  67   0  51  55   3 116
 31  59  35 239 133  66   7 143  68  85  72  97 116 201  81 197  89  91  32 134   4 101 118 155  15 110
 32 103  64 120  17 247 183 248 126  72  33  36 131 136  91 136  98 152 162 141 136 233 143 149 104 236
 33 142 200 220  82 116 248 140 216 188 138 163 168 141 135  56  79  53 132  24  51 128 242 183 225 123
 34 183 143 118 115 127 135  72 113  70 248  76 108  38 156 102 115  54  41  96  21 235  36  92 133 141
 35  86 178 165  75 120 248  82  68 253  77  49 212 168  72 116  85  29  67  68  23  63 129 179 221  59
 36 243 156  23  55 223 131  87  51  33  35  25  47 146 217  43 224 242 166  40 210 113  12  37 146  64
 37  34 144 167 226  22 248  32  81 242   7  29 225 207  28   6  65 179  26 145 153  24 212  97 130  23
 38 113 108  72 244  22  33  87  20 196 129  67  19 193  51  69  18 161  32  17 131 113  15  16  97   0
 39 250 243  32  15 129 215 127  64 240  14 144 227  27  13 192 214  13   2 192 203  12  64 192  59  11
 40 192 184  11  51  16 175 244  10 176 167  10  51   0 161   9 208 154  40   9  96 148   9   1  64 142
 41   8 160 136  30   8  87 143  64 130   7 241  64 126   7 160 123   7 129 128 117   7  48 112   2   6
 42 208 107   6 128 224 102 244   6  64  99  11   6  16  95   5 209  32  91   5 144  87   5  80 160  83
 43   5  32  80  12 119 244   5   0  78   4 193 208  74   4 144  71  48   4  80  67   4  35 192  64   3
 44 224  61   3 196 127  64  60   3 176  59  77   3 151   6 109 212  22 175 105 214 123  98 102 118  69
 45  97 117 229 252 121 164  94 197 194  91  70  69 162  87 181 112 113  86 117  36  82  71 117  16  81
 46 180 220 114  77 218  68 176  75 103  68 159  73  52 120  72 119 132  94  69 228  65 129  68 180  89
 47  66 232   7 228   1 164  65  51 228 141  64 211 205  62 104 243 130  57 115 132  52  57  99  52  52
 48   3   4 140 164  49 210 249  47  88  50 233  49  34 211 115  47  18 229  49 215 242 245  48 195  43
