 289.039  385.008  78 74
 376.023  392.023 756  2
 376.023  392.023   3 24
 384.023  400.023 759  1
 384.023  400.023   3 24
 384.07   400.07    1  3
 384.07   400.07   20  4
 384.07   400.07   11  5
 384.07   400.07    2 25
 392.023  408.023 757  2
 400.023  416.023 759  1
 400.07   416.07    3  3
 400.07   416.07   20  4
 400.07   416.07   10  5
 400.07   416.07    2 25
 408.023  424.023 757  2
 408.023  424.023   3 24
 416.023  432.023 760  1
 416.023  432.023   3 24
 416.07   432.07    2  3
 416.07   432.07   21  4
 416.07   432.07   11  5
 416.07   432.07    2 25
 424.023  440.023 757  2
 432.023  448.023 759  1
 432.07   448.07    2  3
 432.07   448.07   21  4
 432.07   448.07   11  5
 432.07   448.07    2 25
 440.023  456.023 757  2
 440.023  456.023   3 24
 448.023  464.023 759  1
 448.023  464.023   3 24
 448.07   464.07    2  3
 448.07   464.07   21  4
 448.07   464.07   11  5
 448.07   464.07    2 25
 456.023  472.023 757  2
 464.023  480.023 759  1
 464.07   480.07    2  3
 464.07   480.07   20  4
 464.07   480.07   11  5
 464.07   480.07    2 25
 385.039  481.008   0 61
 385.039  481.008   1 62
 385.039  481.008  43 63
 385.039  481.008 259 64
 385.039  481.008 181 65
 385.039  481.008   8 66
 385.039  481.008   0 67
 385.039  481.008   0 68
 385.039  481.008   0 71
 385.039  481.008   4 72
 385.039  481.008  31 73
 385.039  481.008  69 74
 472.023  488.023 756  2
 472.023  488.023   3 24
 480.023  496.023 759  1
 480.023  496.023   3 24
 480.07   496.07    4  3
 480.07   496.07  179  4
 480.07   496.07   19  5
 480.07   496.07    2 25
 488.023  504.023 756  2
 496.023  512.023 758  1
 496.07   512.07   19  3
 496.07   512.07   42  4
 496.07   512.07   27  5
 496.07   512.07    2 25
 504.023  520.023 757  2
 504.023  520.023   3 24
 512.023  528.023 758  1
 512.023  528.023   3 24
 512.07   528.07   17  3
 512.07   528.07   35  4
 512.07   528.07   25  5
 512.07   528.07    2 25
 520.023  536.023 755  2
 528.023  544.023 759  1
 528.07   544.07   18  3
 528.07   544.07   33  4
 528.07   544.07   24  5
 528.07   544.07    2 25
 536.023  552.023 756  2
 536.023  552.023   3 24
 544.023  560.023 758  1
 544.023  560.023   3 24
 544.07   560.07   15  3
 544.07   560.07   33  4
 544.07   560.07   23  5
 544.07   560.07    2 25
 552.023  568.023 756  2
 560.023  576.023 758  1
 560.07   576.07   16  3
 560.07   576.07   33  4
 560.07   576.07   23  5
 560.07   576.07    2 25
 481.039  577.008   0 61
 481.039  577.008   1 62
 481.039  577.008  31 63
 481.039  577.008 227 64
 481.039  577.008 166 65
 481.039  577.008   6 66
 481.039  577.008   0 67
 481.039  577.008   0 68
 481.039  577.008   0 71
 481.039  577.008   0 72
 481.039  577.008   1 73
 481.039  577.008   3 74
 568.023  584.023 756  2
 568.023  584.023   3 24
 576.023  592.023 757  1
 576.023  592.023   3 24
 576.07   592.07   16  3
 576.07   592.07   35  4
 576.07   592.07   24  5
 576.07   592.07    2 25
 584.023  600.023 753  2
 592.023  608.023 756  1
 592.07   608.07   19  3
 592.07   608.07   37  4
 592.07   608.07   25  5
 592.07   608.07    2 25
 600.023  616.023 754  2
 600.023  616.023   3 24
 608.023  624.023 757  1
 608.023  624.023   3 24
 608.07   624.07   20  3
 608.07   624.07   37  4
 608.07   624.07   26  5
 608.07   624.07    2 25
 616.023  632.023 754  2
 624.023  640.023 756  1
 624.07   640.07   20  3
 624.07   640.07   38  4
 624.07   640.07   27  5
 624.07   640.07    2 25
 632.023  648.023 754  2
 632.023  648.023   3 24
 640.023  656.023 757  1
 640.023  656.023   3 24
 640.07   656.07   21  3
 640.07   656.07   37  4
 640.07   656.07   28  5
 640.07   656.07    2 25
 648.023  664.023 755  2
 656.023  672.023 755  1
 656.07   672.07   23  3
 656.07   672.07   38  4
 656.07   672.07   29  5
 656.07   672.07    2 25
 577.039  673.008   0 61
 577.039  673.008   2 62
 577.039  673.008  52 63
 577.039  673.008 275 64
 577.039  673.008 158 65
 577.039  673.008   6 66
 577.039  673.008   0 67
 577.039  673.008   0 68
 577.039  673.008   0 71
 577.039  673.008   0 72
 577.039  673.008   0 73
 577.039  673.008   0 74
 664.023  680.023 754  2
 664.023  680.023   3 24
 672.023  688.023 756  1
 672.023  688.023   3 24
 672.07   688.07   22  3
 672.07   688.07   40  4
 672.07   688.07   29  5
 672.07   688.07    2 25
 680.023  696.023 754  2
 688.023  704.023 755  1
 688.07   704.07   24  3
 688.07   704.07   40  4
 688.07   704.07   30  5
 688.07   704.07    2 25
 696.023  712.023 754  2
 696.023  712.023   3 24
 704.023  720.023 756  1
 704.023  720.023   3 24
 704.07   720.07   24  3
 704.07   720.07   41  4
 704.07   720.07   31  5
 704.07   720.07    2 25
 712.023  728.023 753  2
 720.023  736.023 754  1
 720.07   736.07   25  3
 720.07   736.07   42  4
 720.07   736.07   31  5
 720.07   736.07    2 25
 728.023  744.023 754  2
 728.023  744.023   3 24
 736.023  752.023 757  1
 736.023  752.023   3 24
 736.07   752.07   25  3
 736.07   752.07   43  4
 736.07   752.07   32  5
 736.07   752.07    2 25
 744.023  760.023 754  2
 752.023  768.023 755  1
 752.07   768.07   25  3
 752.07   768.07   43  4
 752.07   768.07   32  5
 752.07   768.07    2 25
 673.039  769.008   0 61
 673.039  769.008   1 62
 673.039  769.008  33 63
 673.039  769.008 224 64
 673.039  769.008 196 65
 673.039  769.008  10 66
 673.039  769.008   0 67
 673.039  769.008   0 68
 673.039  769.008   0 71
 673.039  769.008   0 72
 673.039  769.008   0 73
 673.039  769.008   0 74
 760.023  776.023 754  2
 760.023  776.023   3 24
 768.023  784.023 755  1
 768.023  784.023   3 24
 768.07   784.07   27  3
 768.07   784.07   42  4
 768.07   784.07   33  5
 768.07   784.07    2 25
 776.023  792.023 753  2
 784.023  800.023 755  1
 784.07   800.07   27  3
 784.07   800.07   44  4
 784.07   800.07   34  5
 784.07   800.07    2 25
 792.023  808.023 753  2
 792.023  808.023   3 24
 800.023  816.023 755  1
 800.023  816.023   3 24
 800.07   816.07   27  3
 800.07   816.07   44  4
 800.07   816.07   34  5
 800.07   816.07    2 25
 808.023  824.023 754  2
 816.023  832.023 756  1
 816.07   832.07   28  3
 816.07   832.07   73  4
 816.07   832.07   48  5
 816.07   832.07    2 25
 824.023  840.023 754  2
 824.023  840.023   3 24
 832.023  848.023 755  1
 832.023  848.023   3 24
 832.07   848.07   55  3
 832.07   848.07   73  4
 832.07   848.07   62  5
 832.07   848.07    2 25
 840.023  856.023 753  2
 848.023  864.023 755  1
 848.07   864.07   54  3
 848.07   864.07   73  4
 848.07   864.07   62  5
 848.07   864.07    2 25
 769.039  865.008   0 61
 769.039  865.008   1 62
 769.039  865.008  44 63
 769.039  865.008 257 64
 769.039  865.008 204 65
 769.039  865.008   5 66
 769.039  865.008   0 67
 769.039  865.008   0 68
 769.039  865.008   0 71
 769.039  865.008   0 72
 769.039  865.008   0 73
 769.039  865.008   0 74
 856.023  872.023 752  2
 856.023  872.023   3 24
 864.023  880.023 753  1
 864.023  880.023   3 24
 864.07   880.07   54  3
 864.07   880.07   73  4
 864.07   880.07   62  5
 864.07   880.07    2 25
 872.023  888.023 754  2
 880.023  896.023 756  1
 880.07   896.07   54  3
 880.07   896.07   73  4
 880.07   896.07   61  5
 880.07   896.07    2 25
 888.023  904.023 753  2
 888.023  904.023   3 24
 896.023  912.023 754  1
 896.023  912.023   3 24
 896.07   912.07   53  3
 896.07   912.07   72  4
 896.07   912.07   61  5
 896.07   912.07    2 25
 904.023  920.023 752  2
 912.023  928.023 755  1
 912.07   928.07   52  3
 912.07   928.07   72  4
 912.07   928.07   61  5
 912.07   928.07    2 25
 920.023  936.023 753  2
 920.023  936.023   3 24
 928.023  944.023 754  1
 928.023  944.023   3 24
 928.07   944.07   53  3
 928.07   944.07   74  4
 928.07   944.07   60  5
 928.07   944.07    2 25
 936.023  952.023 753  2
 944.023  960.023 756  1
 944.07   960.07   52  3
 944.07   960.07   70  4
 944.07   960.07   60  5
 944.07   960.07    2 25
 865.039  961.008   0 61
 865.039  961.008   0 62
 865.039  961.008  45 63
 865.039  961.008 269 64
 865.039  961.008 195 65
 865.039  961.008   8 66
 865.039  961.008   0 67
 865.039  961.008   0 68
 865.039  961.008   0 71
 865.039  961.008   0 72
 865.039  961.008   0 73
 865.039  961.008   0 74
 952.023  968.023 753  2
 952.023  968.023   3 24
 960.023  976.023 754  1
 960.023  976.023   3 24
 960.07   976.07   51  3
 960.07   976.07   69  4
 960.07   976.07   58  5
 960.07   976.07    2 25
 968.023  984.023 752  2
 976.023  992.023 754  1
 976.07   992.07   51  3
 976.07   992.07   69  4
 976.07   992.07   59  5
 976.07   992.07    2 25
 984.023 1000.023 753  2
 984.023 1000.023   3 24
 992.023 1008.023 754  1
 992.023 1008.023   3 24
 992.07  1008.07   49  3
 992.07  1008.07   69  4
 992.07  1008.07   57  5
 992.07  1008.07    2 25
1000.023 1016.023 753  2
1008.023 1024.023 756  1
1008.07  1024.07   49  3
1008.07  1024.07   68  4
1008.07  1024.07   56  5
1008.07  1024.07    2 25
1016.023 1032.023 752  2
1016.023 1032.023   3 24
1024.023 1040.023 754  1
1024.023 1040.023   3 24
1024.07  1040.07   47  3
1024.07  1040.07   66  4
1024.07  1040.07   55  5
1024.07  1040.07    2 25
1032.023 1048.023 754  2
1040.024 1056.024 755  1
1040.07  1056.07   45  3
1040.07  1056.07   65  4
1040.07  1056.07   53  5
1040.07  1056.07    2 25
 961.039 1057.008   0 61
 961.039 1057.008   0 62
 961.039 1057.008  48 63
 961.039 1057.008 275 64
 961.039 1057.008 193 65
 961.039 1057.008   5 66
 961.039 1057.008   0 67
 961.039 1057.008   0 68
 961.039 1057.008   0 71
 961.039 1057.008   0 72
 961.039 1057.008   0 73
 961.039 1057.008   0 74
1048.024 1064.024 752  2
1048.024 1064.024   3 24
1056.024 1072.024 754  1
1056.024 1072.024   3 24
1056.07  1072.07   43  3
1056.07  1072.07   62  4
1056.07  1072.07   51  5
1056.07  1072.07    2 25
1064.024 1080.024 752  2
1072.024 1088.024 755  1
1072.07  1088.07   43  3
1072.07  1088.07   62  4
1072.07  1088.07   50  5
1072.07  1088.07    2 25
1080.024 1096.024 754  2
1080.024 1096.024   3 24
1088.023 1104.023 755  1
1088.023 1104.023   3 24
1088.07  1104.07   40  3
1088.07  1104.07   62  4
1088.07  1104.07   49  5
1088.07  1104.07    2 25
1096.023 1112.023 751  2
1104.023 1120.023 755  1
1104.07  1120.07   39  3
1104.07  1120.07   58  4
1104.07  1120.07   47  5
1104.07  1120.07    2 25
1112.023 1128.023 753  2
1112.023 1128.023   3 24
1120.023 1136.023 755  1
1120.023 1136.023   3 24
1120.07  1136.07   36  3
1120.07  1136.07   56  4
1120.07  1136.07   44  5
1120.07  1136.07    2 25
1128.023 1144.023 752  2
1136.024 1152.024 755  1
1136.07  1152.07   32  3
1136.07  1152.07   54  4
1136.07  1152.07   43  5
1136.07  1152.07    2 25
1057.039 1153.008   0 61
1057.039 1153.008   0 62
1057.039 1153.008  57 63
1057.039 1153.008 276 64
1057.039 1153.008 236 65
1057.039 1153.008   6 66
1057.039 1153.008   0 67
1057.039 1153.008   0 68
1057.039 1153.008   0 71
1057.039 1153.008   0 72
1057.039 1153.008   0 73
1057.039 1153.008   0 74
1144.024 1160.024 752  2
1144.024 1160.024   3 24
1152.024 1168.024 755  1
1152.024 1168.024   3 24
1152.07  1168.07   33  3
1152.07  1168.07   52  4
1152.07  1168.07   41  5
1152.07  1168.07    2 25
1160.024 1176.024 753  2
1168.024 1184.024 755  1
1168.07  1184.07   33  3
1168.07  1184.07   53  4
1168.07  1184.07   40  5
1168.07  1184.07    2 25
1176.024 1192.024 753  2
1176.024 1192.024   3 24
1184.023 1200.023 756  1
1184.023 1200.023   3 24
1184.07  1200.07   30  3
1184.07  1200.07   48  4
1184.07  1200.07   38  5
1184.07  1200.07    2 25
1192.023 1208.023 753  2
1200.023 1216.023 755  1
1200.07  1216.07   28  3
1200.07  1216.07   47  4
1200.07  1216.07   36  5
1200.07  1216.07    2 25
1208.023 1224.023 753  2
1208.023 1224.023   3 24
1216.023 1232.023 756  1
1216.023 1232.023   3 24
1216.07  1232.07   28  3
1216.07  1232.07   45  4
1216.07  1232.07   34  5
1216.07  1232.07    2 25
1224.023 1240.023 755  2
1232.024 1248.024 756  1
1232.07  1248.07   22  3
1232.07  1248.07   43  4
1232.07  1248.07   32  5
1232.07  1248.07    2 25
1153.039 1249.008   0 61
1153.039 1249.008   0 62
1153.039 1249.008  32 63
1153.039 1249.008 235 64
1153.039 1249.008 229 65
1153.039 1249.008  13 66
1153.039 1249.008   0 67
1153.039 1249.008   0 68
1153.039 1249.008   0 71
1153.039 1249.008   0 72
1153.039 1249.008   0 73
1153.039 1249.008   0 74
1240.024 1256.024 753  2
1240.024 1256.024   3 24
1248.024 1264.024 756  1
1248.024 1264.024   3 24
1248.07  1264.07   23  3
1248.07  1264.07   43  4
1248.07  1264.07   30  5
1248.07  1264.07    2 25
1256.024 1272.024 753  2
1264.024 1280.024 755  1
1264.07  1280.07   18  3
1264.07  1280.07   40  4
1264.07  1280.07   29  5
1264.07  1280.07    2 25
1272.024 1288.024 754  2
1272.024 1288.024   3 24
1280.023 1296.023 756  1
1280.023 1296.023   3 24
1280.07  1296.07   19  3
1280.07  1296.07   39  4
1280.07  1296.07   27  5
1280.07  1296.07    2 25
1288.023 1304.023 754  2
1296.023 1312.023 755  1
1296.07  1312.07   18  3
1296.07  1312.07   37  4
1296.07  1312.07   25  5
1296.07  1312.07    2 25
