   2.172 3669 14
   2.234   87 32
   4.203 2196 11
   4.234  772 31
   6.172 1578 13
   6.234   99 32
   6.5    151 41
   8.203 1334 11
   8.234  862 31
   8.265 2050 19
  10.172 1182 13
  10.234  106 32
  10.5    178 42
  12.203 1226 11
  12.234  896 31
  14.172  960 13
  14.234  111 32
  16.203  874 11
  16.234  938 31
  16.265  119  7
  18.172  798 13
  18.234  114 32
  20.203  878 11
  20.234  957 31
  22.172  804 13
  22.234  116 32
  24.203  884 11
  24.234  976 31
  24.265  117  6
  26.172  811 13
  26.234  118 32
  26.5    194 43
  28.203  891 11
  28.234  996 31
  30.172  818 13
  30.234  120 32
  32.203  899 11
  32.234 1016 31
  32.265  119  8
  34.172  825 13
  34.203   37 33
  36.203  905 11
  36.234  123 32
  38.172  830 13
  38.203   37 33
  40.203  911 11
  40.234  126 32
  40.265  120  9
  42.172  837 13
  42.203   38 33
  44.203  919 11
  44.234  128 32
  46.172  843 13
  46.203   38 33
  48.203  926 11
  48.234  130 32
  48.265  119 34
  50.172  849 13
  50.203   39 33
  52.203  934 11
  52.234  133 32
  54.172  856 13
  54.203   39 33
  56.203  941 11
  56.234  136 32
  56.265  126 10
  58.172  863 13
  58.203   39 33
  60.203  948 11
  60.234  138 32
  62.172  869 13
  62.203   40 33
  64.203 3016 12
  64.234  260 36
  64.265  124 26
  66.172 3669 14
  66.203   40 33
  68.203  961 11
  68.234  144 32
  70.172  881 13
  70.203   41 33
  70.5     83 41
  72.203  968 11
  72.234  147 32
  72.265   48 18
  74.172  888 13
  74.203   42 33
  74.5    184 42
  76.203  975 11
  76.234  150 32
  78.172  894 13
  78.203   42 33
  80.203  983 11
  80.234  153 32
  80.265  115  7
  82.172  900 13
  82.203   43 33
  84.203  989 11
  84.234  157 32
  86.172  907 13
  86.203   43 33
  88.203  997 11
  88.234  160 32
  88.265  115  6
  90.172  913 13
  90.203   44 33
  90.5    220 43
  92.203 1003 11
  92.234  163 32
  94.172  919 13
  94.203   44 33
  96.203 1010 11
  96.234  166 32
  96.265  118  8
  98.172  926 13
  98.203   45 33
 100.203 1017 11
 100.234  170 32
 102.172  932 13
 102.203   46 33
 104.203 1023 11
 104.234  173 32
 104.265  117  9
 106.172  938 13
 106.203   47 33
 108.203 1030 11
 108.234  177 32
 110.172  944 13
 110.203   47 33
 112.203 1037 11
 112.234  181 32
 112.265  111 34
 114.172  950 13
 114.203   48 33
 116.203 1043 11
 116.234  185 32
 118.172  956 13
 118.203   48 33
 120.203 1050 11
 120.234  189 32
 120.265  126 10
 122.172  961 13
 122.203   49 33
 124.203 1056 11
 124.234  192 32
 126.172  967 13
 126.203   50 33
 128.203 3016 12
 128.234  261 36
 128.265  124 26
 130.172 3669 14
 130.203   50 33
 132.203 1069 11
 132.234  200 32
 134.172  979 13
 134.203   51 33
 134.5     89 41
 136.203 1075 11
 136.234  204 32
 136.265   48 20
 138.172  985 13
 138.203   51 33
 138.5    204 42
 140.203 1082 11
 140.234  208 32
 142.172  990 13
