    .5246250629       .7650969028       .3733569384       
    .0948981792      -.4883785248       .8674564958       
     24.000            290.02481                          
   -60807.14844       30612.03711       22552.83984       
  -25.981153488     -47.170578003     -26.215278625       
   -.8460215330       .4196259081       .3288795352       
    .5239139795       .7654967308       .3735355735       
    .0950110257      -.4883239865       .8674749136       
     25.000            283.65085                          
   -60833.12109       30564.86328       22526.62109       
  -25.957937241     -47.177581787     -26.221187592       
   -.8475873470       .4174163043       .3276574612       
    .5232024789       .7658962011       .3737140596       
    .0949573219      -.4881869853       .8675578237       
     26.000            277.30179                          
   -60859.06250       30517.68359       22500.39844       
  -25.934230804     -47.183647156     -26.226560593       
   -.8468961716       .4183933139       .3281979561       
    .5224905610       .7662950158       .3738923371       
    .0950624719      -.4881285727       .8675792217       
     27.000            270.97781                          
   -60884.98438       30470.50195       22474.17188       
  -25.909923553     -47.188552856     -26.231271744       
   -.8479669094       .4168784916       .3273599148       
    .5217781663       .7666935325       .3740703464       
    .0950428694      -.4880086184       .8676488400       
     28.000            264.67914                          
   -60910.87891       30423.30469       22447.93359       
  -25.884857178     -47.192012787     -26.235151291       
   -.8483459949       .4163405299       .3270621896       
    .5210655332       .7670913935       .3742480874       
    .0950719565      -.4879127443       .8676996231       
     29.000            258.40604                          
   -60936.75781       30376.11523       22421.69922       
  -25.858858109     -47.193664551     -26.237993240       
   -.8487247229       .4158022404       .3267642856       
    .5203524828       .7674887180       .3744255602       
    .0951008946      -.4878167808       .8677502275       
     30.000            252.15878                          
   -60962.60156       30328.92383       22395.46094       
  -25.831699371     -47.193058014     -26.239543915       
   -.8491030335       .4152638912       .3264662623       
    .5196390152       .7678854465       .3746027052       
    .0951296985      -.4877209663       .8678011894       
     31.000            245.93779                          
   -60988.41797       30281.72852       22369.22070       
  -25.803089142     -47.189636230     -26.239479065       
   -.8498580456       .4141865373       .3258696795       
    .5189253092       .7682816982       .3747796714       
    .0951310322      -.4876116216       .8678622842       
     32.000            239.74358                          
   -61014.20703       30234.54102       22342.98047       
  -25.772665024     -47.182704926     -26.237398148       
   -.8502347469       .4136476219       .3255712092       
    .5182114244       .7686773539       .3749563396       
    .0951594263      -.4875156283       .8679130673       
     33.000            233.57671                          
   -61039.96094       30187.36133       22316.74609       
  -25.739992142     -47.171375275     -26.232799530       
   -.8506109118       .4131087065       .3252726793       
    .5174972415       .7690722942       .3751326203       
    .0951876640      -.4874196947       .8679639101       
     34.000            227.43796                          
   -61065.69141       30140.20703       22290.51953       
  -25.704509735     -47.154571533     -26.225055695       
   -.8509865999       .4125697613       .3249740899       
    .5167829990       .7694665790       .3753085732       
    .0952157080      -.4873237312       .8680147529       
     35.000            221.32826                          
   -61091.37109       30093.05078       22264.29492       
  -25.665534973     -47.130939484     -26.213394165       
   -.8513615727       .4120309353       .3246755004       
    .5160687566       .7698601484       .3754842877       
    .0952436030      -.4872277975       .8680655956       
     36.000            215.24878                          
   -61117.01563       30045.94141       22238.09180       
  -25.622137070     -47.098663330     -26.196769714       
   -.8517358899       .4114919901       .3243768513       
    .5153545737       .7702529430       .3756595552       
    .0952713042      -.4871318340       .8681162596       
     37.000            209.20097                          
   -61142.60938       29998.86133       22211.90625       
  -25.573143005     -47.055423737     -26.173851013       
   -.8521098495       .4109529853       .3240780532       
    .5146406293       .7706447840       .3758344352       
    .0952987894      -.4870359600       .8681671023       
     38.000            203.18671                          
   -61168.16016       29951.83789       22185.74805       
  -25.517148972     -46.998466492     -26.143060684       
   -.8525342345       .4103400409       .3237382472       
    .5139272213       .7710357308       .3760088682       
    .0953222811      -.4869383276       .8682191968       
     39.000            197.20827                          
   -61193.64453       29904.87500       22159.62305       
  -25.452434540     -46.924385071     -26.102436066       
   -.8529555202       .4097305238       .3234003186       
    .5132144690       .7714256048       .3761827648       
    .0953457505      -.4868409634       .8682714105       
     40.000            191.26848                          
   -61219.06250       29857.99805       22133.54688       
  -25.376857758     -46.828983307     -26.049564362       
   -.8534666896       .4089898169       .3229895830       
    .5125026107       .7718142867       .3763560653       
    .0953621566      -.4867403805       .8683259487       
     41.000            185.37086                          
   -61244.39063       29811.22852       22107.53125       
  -25.287818909     -46.707107544     -25.981489182       
   -.8538482785       .4084353149       .3226820529       
    .5117920637       .7722012997       .3765287399       
    .0953878909      -.4866446257       .8683768511       
     42.000            179.51978                          
   -61269.63281       29764.58984       22081.58984       
  -25.182157516     -46.552509308     -25.894615173       
   -.8542284966       .4078821540       .3223752677       
    .5110833645       .7725868821       .3767006099       
    .0954134464      -.4865491092       .8684275150       
     43.000            173.72052                          
   -61294.75000       29718.13281       22055.74805       
  -25.056089401     -46.357707977     -25.784641266       
   -.8546836376       .4072189331       .3220073879       
    .5103769302       .7729702592       .3768715858       
    .0954329073      -.4864511788       .8684802651       
     44.000            167.97955                          
   -61319.73047       29671.88477       22030.02734       
  -24.905073166     -46.113708496     -25.646402359       
   -.8551152349       .4065886140       .3216577768       
    .5096735358       .7733514905       .3770415187       
    .0954537168      -.4863544405       .8685320616       
     45.000            162.30473                          
   -61344.55078       29625.92578       22004.46484       
  -24.723894119     -45.810161591     -25.473937988       
   -.8555367589       .4059718251       .3213156760       
    .5089740157       .7737298608       .3772101998       
    .0954748318      -.4862585664       .8685834408       
     46.000            156.70546                          
   -61369.16406       29580.29297       21979.09570       
  -24.506578445     -45.435207367     -25.260433197       
   -.8558924794       .4054506123       .3210266232       
    .5082792640       .7741050124       .3773773909       
    .0955004096      -.4861656427       .8686326742       
     47.000            151.19286                          
   -61393.54688       29535.08203       21953.96094       
  -24.246513367     -44.975669861     -24.998308182       
   -.8563322425       .4048046768       .3206683695       
    .5075905323       .7744761705       .3775427938       
    .0955189317      -.4860703647       .8686839938       
     48.000            145.77989                          
   -61417.64453       29490.37500       21929.11719       
  -23.936717987     -44.417636871     -24.679553986       
   -.8567196727       .4042346179       .3203523159       
    .5069091916       .7748426199       .3777060807       
    .0955407843      -.4859778881       .8687332869       
     49.000            140.48148                          
   -61441.40625       29446.28711       21904.62500       
  -23.570178986     -43.747074127     -24.296091080       
   -.8570951819       .4036813080       .3200456500       
    .5062369704       .7752035856       .3778669238       
    .0955627486      -.4858869016       .8687817454       
     50.000            135.31425                          
   -61464.76172       29402.92773       21880.55078       
  -23.140417099     -42.950923920     -23.840396881       
   -.8574861288       .4031043351       .3197259903       
    .5055755377       .7755582333       .3780249059       
    .0955826640      -.4857967198       .8688299656       
     51.000            130.29640                          
   -61487.66016       29360.42969       21856.96875       
  -22.642442703     -42.019069672     -23.306640625       
   -.8579049110       .4024845064       .3193827868       
    .5049269199       .7759053111       .3781794608       
    .0955994725      -.4857071042       .8688782454       
     52.000            125.44701                          
   -61510.01953       29318.93359       21833.96289       
  -22.073324203     -40.945392609     -22.691278458       
   -.8582325578       .4019988179       .3191141486       
    .5042933822       .7762439251       .3783302307       
    .0956220701      -.4856224656       .8689230084       
     53.000            120.78533                          
   -61531.78125       29278.58203       21811.61328       
  -21.433347702     -39.730083466     -21.994401932       
   -.8586058021       .4014446437       .3188077807       
    .5036768913       .7765725851       .3784766793       
    .0956399590      -.4855383933       .8689681292       
     54.000            116.32980                          
   -61552.87891       29239.51953       21790.00000       
  -20.726716995     -38.381134033     -21.220581055       
   -.8589820266       .4008847475       .3184986711       
    .5030798316       .7768905759       .3786182702       
    .0956563354      -.4854565263       .8690119982       
     55.000            112.09682                          
   -61573.21484       29201.85742       21769.19336       
  -19.961380005     -36.913887024     -20.378608704       
   -.8592957258       .4004169405       .3182407916       
    .5025038719       .7771968246       .3787545264       
    .0956759751      -.4853793979       .8690528274       
     56.000            108.10007                          
   -61592.78125       29165.72266       21749.26172       
  -19.147911072     -35.348960876     -19.480319977       
   -.8595958948       .3999684453       .3179938793       
    .5019508600       .7774903178       .3788852096       
    .0956950560      -.4853055775       .8690920472       
     57.000            104.34953                          
   -61611.49609       29131.18555       21730.24805       
  -18.300203323     -33.713584900     -18.541364670       
   -.8599219322       .3994803727       .3177257776       
    .5014221072       .7777706981       .3790100217       
    .0957107395      -.4852338135       .8691303134       
     58.000            100.85091                          
   -61629.37109       29098.31641       21712.18750       
  -17.433073044     -32.036899567     -17.578479767       
   -.8602260947       .3990242183       .3174757361       
    .5009184480       .7780373096       .3791286945       
    .0957264602      -.4851658642       .8691664934       
     59.000             97.60651                          
   -61646.37109       29067.11719       21695.09570       
  -16.558126450     -30.341728210     -16.604784012       
   -.8604726791       .3986534774       .3172730803       
    .5004404187       .7782901525       .3792411983       
    .0957446843      -.4851029515       .8691995740       
     60.000             94.61459                          
   -61662.49609       29037.62500       21678.97656       
  -15.690034866     -28.657058716     -15.636944771       
   -.8607402444       .3982506692       .3170534968       
    .4999879003       .7785289884       .3793474734       
    .0957599506      -.4850426018       .8692317009       
     61.000             91.86986                          
   -61677.75391       29009.79297       21663.81250       
  -14.843419075     -27.011919022     -14.691667557       
   -.8609800339       .3978886604       .3168567419       
    .4995608330       .7787543535       .3794477582       
    .0957755893      -.4849861860       .8692614436       
     62.000             89.36237                          
   -61692.18359       28983.57422       21649.57813       
  -14.033944130     -25.437604904     -13.786961555       
   -.8612412214       .3974933028       .3166426718       
    .4991582334       .7789664268       .3795421422       
    .0957885832      -.4849322736       .8692902327       
     63.000             87.07846                          
   -61705.83594       28958.88281       21636.22070       
  -13.273869514     -23.958724976     -12.937007904       
   -.8614456654       .3971833587       .3164754808       
    .4987788796       .7791661024       .3796310127       
    .0958038941      -.4848828018       .8693159223       
     64.000             85.00145                          
   -61718.75781       28935.61719       21623.68359       
  -12.572604179     -22.594379425     -12.152815819       
   -.8616287112       .3969051242       .3163259923       
    .4984210730       .7793542147       .3797146678       
    .0958193392      -.4848367274       .8693400025       
     65.000             83.11269                          
   -61731.00391       28913.65625       21611.89258       
  -11.934585571     -21.353792191     -11.439716339       
   -.8618304729       .3965981305       .3161616623       
    .4980832040       .7795317769       .3797936141       
    .0958326384      -.4847926497       .8693631887       
     66.000             81.39315                          
   -61742.64453       28892.87305       21600.78125       
  -11.359343529     -20.236373901     -10.797396660       
   -.8620156050       .3963156939       .3160111904       
    .4977632761       .7796997428       .3798683882       
    .0958460271      -.4847511649       .8693845868       
     67.000             79.82457                          
   -61753.74609       28873.14844       21590.27734       
  -10.843358040     -19.235399246     -10.222002983       
   -.8622013330       .3960316777       .3158604503       
    .4974594712       .7798591852       .3799392283       
    .0958587006      -.4847119153       .8694052696       
     68.000             78.38994                          
   -61764.35156       28854.36133       21580.31445       
  -10.382514954     -18.342967987      -9.709004402       
   -.8623441458       .3958127499       .3157447577       
    .4971700907       .7800108194       .3800067008       
    .0958728269      -.4846754670       .8694240451       
     69.000             77.07358                          
   -61774.51953       28836.42773       21570.83789       
   -9.972119331     -17.549978256      -9.253183365       
   -.8625233173       .3955380023       .3156001270       
    .4968934357       .7801555991       .3800711036       
