1.458  12.  118784.   86016.   45056.   57344.  114688.   94208.   51200.   61440.
1.458  13.  425984.  393216.  344064.  360448.  425984.  393216.  344064.  360448.
1.458  21.  110592.  102400.   86016.   90112.  110592.  106496.   86016.   94208.
1.458  22.    4096.    2432.     896.    1408.    3840.    2944.    1152.    1600.
1.458  31.      92.      40.      84.      32.       0.       0.       0.       0.
1.360  11.  688128.  622592.  442368.  507904.  688128.  589824.  393216.  442368.
1.360  12.   55296.   43008.   18432.   26624.   57344.   38912.   14336.   19456.
1.360  13.  147456.  139264.  106496.  118784.  147456.  131072.  102400.  106496.
1.360  21.   77824.   73728.   55296.   63488.   81920.   69632.   51200.   57344.
1.360  22.    4608.    3328.     832.    1600.    5120.    2816.     544.     992.
1.360  31.     200.      62.     208.      38.       0.       0.       0.       0.
1.267  11.  262144.  253952.  188416.  212992.  262144.  212992.  131072.  155648.
1.267  12.   19456.   17408.    7168.   10752.   21504.   10752.    2688.    4864.
1.267  13.   53248.   51200.   40960.   45056.   55296.   45056.   34816.   36864.
1.267  21.   38912.   38912.   30720.   32768.   40960.   34816.   24576.   26624.
1.267  22.    2688.    2304.     496.     960.    3328.    1152.     100.     232.
1.267  31.     144.      40.     160.      12.       0.       0.       0.       0.
1.183  11.   15872.   16384.   12288.   13824.   16384.   11776.    6144.    7680.
1.183  12.      58.      62.      30.      44.      64.      23.       5.      12.
1.183  13.     608.     608.     544.     576.     576.     544.     496.     496.
1.183  21.     768.     800.     608.     704.     704.     576.     352.     400.
1.183  22.       0.       0.       0.       0.       0.       0.       0.       0.
1.183  31.       0.       0.       0.       0.       0.       0.       0.       0.
