43   0   1      43      60      62      74     14     15      78      86      71      77   17    7
44   5  10      98     101      86      65     20     25     112     109     124     117   32   27
44   7   3      82     104      75      84     19     13     121     108     123     123   28   24
45   0   0       1       0       1       4      0      0       4       3       3       4    0    0
45   0   0       2      -1       0       2      1      1       1       6       2       3    0    0
46   0   0       0       2       1       2      0      0       0       1       0       1    0    0
46   0   0       0       0       0       0      0      0       1       0       1       1    0    0
47   0   0       0       0       0       0      0      0       1       1       0       0    0    0
47   0   0       1       0       3       0      2      0       0       0       1       2    0    0
48   0   0       2       0       0       0      0      0       0       0       2       0    0    0
48   0   0       0       0       1       0      0      0       1       0       0       0    0    0
49   0   0       1       1       0       0      0      0       0       0       2       1    0    0
49   0   0       1       0       0       0      0      0       3       3       2       2    0    0
50   0   0       4       5       0       0      0      0       4       4       5       6    0    1
50   0   0       3       3       3       0      0      0       6       3       4       9    1    1
