  7945         15   Hi        
  7946          3   Hi    3   
  7947         18   Hi        
  7948         73   Hi        
  7949         15   Hi        
  7950         26   Hi  178   
  7951          0   Hi        
  7952          1   Hi        
  7953         21   Hi        
  7954          0   Hi    3   
  7955         29   Hi        
  7956         47   Hi        
  7957          8   Hi        
  7958         13   Hi    1   
  7959          0   Hi        
  7960          0   Hi        
  7961          2   Hi        
  7962          0   Hi    3   
  7963          4   Hi        
  7964          4   Hi        
  7965          0   Hi        
  7966          5   Hi    0   
  7967          2   Hi        
  7968          0   Hi        
  7969          1   Hi        
  7970          5   Hi    3   
  7971         37   Hi        
  7972         32   Hi        
  7973         27   Hi        
  7974         28   Hi   10   
  7975          0   Hi        
  7976         10   Hi        
  7977          9   Hi        
  7978         20   Hi    3   
  7979         17   Hi        
  7980         13   Hi        
  7981         20   Hi        
  7982         14   Hi    1   
  7983          0   Hi        
  7984          0   Hi        
  7985          0   Hi        
  7986          1   Hi    3   
  7987          0   Hi        
  7988          0   Hi        
  7989          0   Hi        
  7990          0   Hi  186   
  7991          0   Hi        
  7992          0   Hi        
  7993          1   Hi        
  7994          0   Hi    3   
  7995          0   Hi        
  7996          0   Hi        
  7997          1   Hi        
  7998          0   Hi  138   
  7999          0   Hi        
  8000          0   Hi        
  8001          0   Hi        
  8002          1   Hi    3   
  8003          0   Hi        
  8004          1   Hi        
  8005          0   Hi        
  8006          0   Hi   89   
  8007          0   Hi        
  8008          0   Hi        
  8009          1   Hi        
  8010          0   Hi    3   
  8011          1   Hi        
  8012          1   Hi        
  8013          2   Hi        
  8014          1   Hi    3   
  8015          0   Hi        
  8016          0   Hi        
  8017          0   Hi        
  8018          1   Hi    3   
  8019          1   Hi        
  8020          4   Hi        
  8021          4   Hi        
  8022          4   Hi    4   
  8023          2   Hi        
  8024          0   Hi        
  8025          0   Hi        
  8026          5   Hi    3   
  8027         15   Hi        
  8028         12   Hi        
  8029         15   Hi        
  8030         14   Hi  126   
  8031          3   Hi        
  8032          1   Hi        
  8033          0   Hi        
  8034         24   Hi    3   
  8035         15   Hi        
  8036         14   Hi        
  8037         27   Hi        
  8038         18   Hi   25   
  8039          5   Hi        
  8040          0   Hi        
  8041          0   Hi        
