45   0   1       0       0      0      0   0   0       1       0       0       1   0   0
46   0   2       0       0      0      0   0   0       1       0       0       0   0   0
46   0   1       0       0      0      1   0   0       0       0       0       0   0   0
47   0   0       0       1      0      0   0   0       0       0       0       0   0   0
47   0   0       0       0      1      0   0   0       0       0       0       0  -1   0
48   0   0       0       0      0      0   0   0       0       0       0       0   0   0
48   0   0       0       0      0      0   0   0       0       0       0       0   0   0
49   0   0       1       0      0      0   0   0       0       0       0       0   0   1
49   0   0       0       0      0      0   0   0       1       0       0       0   0   0
50   0  -1       0       1      0      0   0   0       1       2       1       0   1   0
50   0  -1       0       1      0      0   0   0       0       0       0       1   0   0
