   0  15.500 Hi 75             
 232 122.    Hi 75             
 233 124.    Hi 75             
 234 152.    Hi 75             
 235  20.    Hi 75 m           
 236  21.    Hi 75             
 237  22.    Hi 75             
 238  23.    Hi 75             
 239  24.    Hi 75             
 240  12.    Hi 75             
 241  13.    Hi 75             
 242  14.    Hi 75             
 243  15.    Hi 75             
 244  16.    Hi 75 m           
 245  17.    Hi 75             
 246  25.    Hi 75             
 247  26.    Hi 75             
 248   2.    Hi 75 m           
 249   3.    Hi 75             
 250   4.    Hi 75             
 251  18.    Hi 75             
 252  19.    Hi 75             
 253  27.    Hi 75             
 254  28.    Hi 75             
 255  29.    Hi 75             
 256  30.    Hi 75             
 257  31.    Hi 75             
 258  32.    Hi 75 m           
 259  33.    Hi 75             
 260  34.    Hi 75             
 261  35.    Hi 75             
 262  36.    Hi 75             
 263  37.    Hi 75             
 264  38.    Hi 75             
 265  39.    Hi 75             
 266  40.    Hi 75 m           
 267  41.    Hi 75             
 268  42.    Hi 75             
 269  43.    Hi 75             
 270  44.    Hi 75             
 271  47.    Hi 75             
 272  52.    Hi 75             
 273  58.    Hi 75             
 274  59.    Hi 75             
 275  60.    Hi 75             
 276  62.    Hi 75             
 277  64.    Hi 75             
 278  65.    Hi 75             
 279  66.    Hi 75 m           
 280  68.    Hi 75             
 281  72.    Hi 75             
 282  73.    Hi 75             
 283  74.    Hi 75             
 284  75.    Hi 75             
 285  76.    Hi 75             
 286  77.    Hi 75             
 287  78.    Hi 75 m           
 288  80.    Hi 75             
 289  81.    Hi 75             
 290  82.    Hi 75             
 291  83.    Hi 75             
 292  84.    Hi 75             
 293 122.    Hi 75             
 294 124.    Hi 75 m           
 295  12.    Hi 75             
 296  13.    Hi 75             
 297  14.    Hi 75             
 298  15.    Hi 75             
 299  16.    Hi 75 m           
 300  17.    Hi 75             
 301  18.    Hi 75             
 302  19.    Hi 75             
 303  20.    Hi 75             
 304  21.    Hi 75             
 305  22.    Hi 75             
 306  23.    Hi 75             
 307  24.    Hi 75             
 308  25.    Hi 75             
 309  26.    Hi 75             
 310  27.    Hi 75             
 311  28.    Hi 75 m           
 312  29.    Hi 75             
 313  30.    Hi 75             
 314  31.    Hi 75             
 315  32.    Hi 75 m           
 316  33.    Hi 75             
 317  34.    Hi 75             
 318  35.    Hi 75             
 319  36.    Hi 75             
 320  37.    Hi 75             
 321  38.    Hi 75             
 322  39.    Hi 75             
 323  40.    Hi 75 m           
 324  41.    Hi 75             
 325  42.    Hi 75             
 326  43.    Hi 75             
 327  44.    Hi 75             
 328   2.    Hi 75 m           
 329   2.    Lo 75       V1O   
 330   3.    Hi 75             
 331   4.    Hi 75             
 332   4.    Lo 75       V1O   
