 80    1765      -1   997      -1  119    119
 80    1799      -1  1033      -1  127    106
 81       6      -1     4      -1    1      1
 81       6      -1     4      -1    1      1
 82    9576      -1  5932      -1  624    621
 82    9352      -1  5932      -1  679    639
 83    7276      -1  4924      -1  559    513
 83    7244      -1  4860      -1  512    536
 84   38240      -1 25008      -1 2906   2926
 84   37792      -1 24688      -1 3018   2902
 85      12      -1    10      -1    2      2
 85      18      -1    14      -1    3      2
 86   12280      -1  8312      -1  884    880
 86   12328      -1  8424      -1  880    864
 87       1      -1     2      -1    0      0
 87       0      -1     0      -1    0      0
 88       0      -1     0      -1    0      0
 88       0      -1     0      -1    0      0
 89       1      -1     0      -1    0      0
 89       1      -1     1      -1    0      0
 90       0      -1     1      -1    0      0
 90       1      -1     1      -1    0      0
 91      14      -1    14      -1    3      3
 91       7      -1    16      -1    1      3
 92       8      -1     7      -1    5      3
 92       9      -1    10      -1    8      6
 93       0      -1     1      -1    1     -1
 93       0      -1     0      -1    0     -1
 94       0      -1     0      -1    0     -1
 94       0      -1     0      -1    0     -1
 95       2      -1     1      -1    0     -1
 95       1      -1     2      -1    1     -1
 96       0      -1     1      -1    0     -1
 96       0      -1     0      -1    4     -1
 97       1      -1     0      -1    0     -1
 97       0      -1     1      -1    0     -1
 98       1      -1     1      -1    1     -1
 98       0      -1     1      -1    1     -1
 99       0      -1     0      -1    0     -1
 99       0      -1     0      -1    0     -1
100       0      -1     0      -1    0     -1
100       0      -1     0      -1    0     -1
101       0      -1     0      -1    0     -1
101       0      -1     0      -1    0     -1
102       0      -1     0      -1    0     -1
102       0      -1     0      -1    0     -1
103       0      -1     0      -1    0     -1
103       0      -1     0      -1    0     -1
104       0      -1     0      -1    0     -1
104       0      -1     0      -1    0     -1
105       0      -1     0      -1    1     -1
105       0      -1     1      -1    0     -1
106       1      -1     3      -1    2     -1
106       1      -1     0      -1    0     -1
107       0      -1     0      -1    0     -1
107       0      -1     1      -1    1     -1
108       0      -1     0      -1    0     -1
108       1      -1     0      -1    0     -1
109       1      -1     0      -1    0     -1
109       0      -1     0      -1    0     -1
110       0      -1     0      -1    1     -1
110       0      -1     0      -1    0     -1
111       0      -1     0      -1    0     -1
111       0      -1     0      -1    0     -1
112       0      -1     0      -1    0     -1
112       0      -1     0      -1    0     -1
113       0      -1     0      -1    0     -1
113       0      -1     0      -1    0     -1
114       0      -1     0      -1    0     -1
114       0      -1     0      -1    0     -1
115       0      -1     0      -1    0     -1
115       0      -1     0      -1    0     -1
116       1      -1     0      -1    0     -1
116       0      -1     0      -1    0     -1
117       0      -1     0      -1    0     -1
117       0      -1     0      -1    0     -1
118       0      -1     0      -1    1     -1
118       0      -1     0      -1    0     -1
119       1      -1     0      -1    0     -1
119       2      -1     0      -1    0     -1
120       0      -1     0      -1    0     -1
120       0      -1     0      -1    0     -1
121       0      -1     0      -1    0     -1
121       0      -1     0      -1    0     -1
122       0      -1     0      -1    0     -1
122       0      -1     0      -1    0     -1
123       0      -1     0      -1    0     -1
123       0      -1     0      -1    0     -1
124      80      -1    77      -1   24     -1
124     108      -1    79      -1   22     -1
125       1      -1     1      -1    0     -1
125       0      -1     0      -1    0     -1
126      65      -1    75      -1   19     -1
126      77      -1    59      -1   13     -1
127      19      -1    21      -1    9     -1
127      18      -1    24      -1    5     -1
128    1889      -1  1907      -1  405     -1
128    1855      -1  1885      -1  359     -1
129   20912      -1 18832      -1 4508     -1
129   21040      -1 18640      -1 4492     -1
130    3254      -1  2970      -1  604     -1
130    3270      -1  3002      -1  671     -1
131   17232      -1 15000      -1 3638     -1
131   16912      -1 15192      -1 3658     -1
132   21584      -1 18704      -1 4644     -1
132   21232      -1 18832      -1 4692     -1
133      47      -1    53      -1    8     -1
133      45      -1    57      -1   14     -1
134    7916      -1  7140      -1 1813     -1
134    8004      -1  7092      -1 1781     -1
135      49      -1    99      -1   20     -1
135      55      -1   101      -1   20     -1
136    7460      -1  6084      -1 1667     -1
136    7420      -1  6636      -1 1643     -1
137       0      -1     0      -1    0     -1
137       0      -1     0      -1    0     -1
138       0      -1     0      -1    0     -1
138       1      -1     0      -1    0     -1
139       0      -1     0      -1    0     -1
139       0      -1     0      -1    0     -1
140       0      -1     0      -1    0     -1
140       0      -1     0      -1    0     -1
141       0      -1     0      -1    0     -1
141       0      -1     0      -1    0     -1
142       0      -1     0      -1    0     -1
142       0      -1     0      -1    0     -1
143       0      -1     0      -1    0     -1
143       0      -1     0      -1    0     -1
144       0      -1     0      -1    0     -1
144       0      -1     0      -1    0     -1
145       0      -1     0      -1    0     -1
145       0      -1     0      -1    0     -1
146       0      -1     0      -1    0     -1
146       0      -1     0      -1    0     -1
147       0      -1     0      -1    0     -1
147       0      -1     0      -1    0     -1
148       1      -1     0      -1    0     -1
148       0      -1     0      -1    0     -1
149       0      -1     0      -1    0     -1
149       0      -1     0      -1    0     -1
150       0      -1     0      -1    0     -1
150       0      -1     0      -1    0     -1
