 39   0  -1   1    10     6      8     13     -1      49      57     118     142     186     153    -1
 39   1  -1   3     7    10      8     21     -1      37      56     137     123     145     189    -1
 40  39  -1 323   405   940    895   3674     -1   11064   11352   33824   32016   35936   35808    -1
 40  35  -1 328   425   904    945   3610     -1   11192   11480   33696   31920   36128   36000    -1
 41   0  -1  13    16    26     30    109     -1     336     326     939     936    1077    1117    -1
 41   0  -1   7     8    29     36     98     -1     300     328     947     950    1069    1331    -1
 42   3  -1  32    42   105    110    390     -1    1543    1565    4444    4252    4868    4732    -1
 42   1  -1  25    42    91     97    395     -1    1463    1557    4452    4364    4844    4844    -1
 43   0  -1   9    20    27     42    106     -1     399     396    1493    1511    1567    1567    -1
 43   1  -1  13    14    26     50    137     -1     390     423    1541    1493    1623    1613    -1
 44  17  -1  15    18    32     28     31     -1      73      93     152     196     166     161    -1
 44  17  -1  16    24    19     14     35     -1      69      80     185     150     189     218    -1
 45   0  -1   0     0     0      1      1     -1       2       1      10       9      13      10    -1
 45   0  -1   1     0     2      0      3     -1       3       4       8      21       8      10    -1
 46   0  -1   0     0     1      0      0     -1       0       1       0       1       0       0    -1
 46   0  -1   0     0     0      0      0     -1       0       0       1       0       1       0    -1
 47   0  -1   0     0     0      0      0     -1       0       0       0       0       1       0    -1
 47   0  -1   0     0     0      0      0     -1       0       0       0       0       0       0    -1
 48   0  -1   0     0     0      0      0     -1       0       0       0       0       0       0    -1
 48   0  -1   0     0     0      0      0     -1       0       0       0       2       0       0    -1
 49   0  -1   0     0     0      0      0     -1       0       0       1       0       2       1    -1
 49   0  -1   0     0     0      0      1     -1       0       1       0       0       0       2    -1
 50   0  -1   0     0     0      0      0     -1       1       1       5       1       1       3    -1
 50   0  -1   0     1     0      1      0     -1       0       2       0       1       2       5    -1
 51   0  -1   0     0     0      2      0     -1       0       1       4       3       5       7    -1
 51   0  -1   1     0     0      0      0     -1       1       2       2       4       2       4    -1
 52   0  -1   0     0     0      1      0     -1       2       1       2       8       4       3    -1
 52   0  -1   1     0     0      0      0     -1       0       0       1       4       4       3    -1
 53   0  -1   0     0     0      0      0     -1       1       0       0       6       2       1    -1
 53   0  -1   0     0     0      0      1     -1       0       1       2       6       2       5    -1
 54   0  -1   0     0     0      0      1     -1       1       1       0       1       0       1    -1
 54   0  -1   0     0     0      0      1     -1       1       0       1       1       2       1    -1
 55   1  -1   0     0     0      1      1     -1       2       7      13      11      15      22    -1
 55   0  -1   1     0     0      0      0     -1       5       2       8       5      16      16    -1
 56   0  -1   0     0     0      0      2     -1       7       8       9      14      19      20    -1
 56   0  -1   2     0     0      1      0     -1       4       4       5      22      24      16    -1
 57   0  -1   0     0     0      1      2     -1       3       4       7       6       9       6    -1
 57   0  -1   0     0     0      0      1     -1       1       2       2       6       8       6    -1
 58   0  -1   0     1     0      0      0     -1       2       3       4       9       5       2    -1
 58   0  -1   0     0     0      0      1     -1       2       1       3       4       7      10    -1
 59   0  -1   0     0     0      0      0     -1       0       0       0       0       0       0    -1
 59   0  -1   0     0     0      0      0     -1       0       0       1       1       0       0    -1
 60   0  -1   0     1     0      0      0     -1       0       0       0       0       0       0    -1
 60   0  -1   0     0     0      0      0     -1       0       0       1       0       0       0    -1
 61   0  -1   0     0     0      1      0     -1       0       0       0       0       0       0    -1
 61   0  -1   0     0     0      0      0     -1       0       0       0       0       1       0    -1
 62   0  -1   0     0     0      0      0     -1       2       3      10      10      17      13    -1
 62   0  -1   0     0     0      0      0     -1       2       3       7       5       4      13    -1
 63   0  -1   1     1     0      0      1     -1       1       7      14      15      12       8    -1
 63   0  -1   0     0     0      0      0     -1       6       2      10       5      12      11    -1
 64   1  -1   6     4    12     15     67     -1     135     137     442     430     452      -1   690
 64   0  -1  14     9    11     10     54     -1     115     142     409     454     510      -1   692
 65   0  -1   2     3    11     13     39     -1     160     162     481     509     529      -1   751
 65   0  -1   5     8    12     10     55     -1     148     177     509     477     574      -1   739
 66   1  -1  18    18    64     62    245     -1     861     919    3078    3066    3342      -1  4724
 66   0  -1  19    20    60     58    236     -1     865     916    3098    2946    3366      -1  4836
 67   0  -1   7    10    24     18    120     -1     372     356    1415    1153    1487      -1  1995
 67   0  -1   7    11    10     31    101     -1     355     350    1347    1143    1239      -1  1975
 68   0  -1  10    13    10     14     78     -1     317     317    1043     991    1051      -1  1891
 68   0  -1   4    12    13     27     75     -1     321     303    1027     956    1087      -1  1839
 69   2  -1   1     0     0      2      1     -1       2       0       3       3       2      -1     3
 69   0  -1   1     0     1      0      0     -1       2       1       2       3       4      -1     5
 70   0  -1   0     0     0      1      0     -1       1       0       1       2       1      -1     6
 70   0  -1   0     1     0      0      0     -1       1       0       3       3       2      -1     6
 71   0  -1   0     0     0      0      0     -1       1       1       0       0       1      -1     0
 71   0  -1   0     0     0      0      1     -1       0       0       0       1       1      -1     2
 72   0  -1   0     0     0      0      0     -1       0       0       1       1       0      -1     2
 72   0  -1   0     0     0      0      0     -1       0       0       1       0       1      -1     1
 73   0  -1   0     0     0      0      0     -1       0       0       0       0       0      -1     1
 73   0  -1   0     0     0      0      0     -1       0       0       0       0       1      -1     1
 74   0  -1   0     0     0      0      0     -1       0       0       1       1       1      -1     1
 74   0  -1   0     0     0      0      1     -1       0       0       1       0       0      -1     1
 75   0  -1   0     0     0      0      0     -1       0       0       0       0       2      -1     0
 75   0  -1   0     0     0      0      0     -1       0       0       0       2       0      -1     0
 76   0  -1   0     0     0      0      0     -1       0       0       1       2       0      -1     1
 76   0  -1   0     0     0      0      0     -1       0       0       0       0       0      -1     1
 77   0  -1   0     0     0      0      0     -1       1       1       0       5       2      -1     3
 77   0  -1   0     0     0      0      0     -1       1       0       1       5       3      -1     2
 78   0  -1   7     5     1      5     15     -1      45      41     133     131     175      -1   278
 78   0  -1   1     3     2      6     20     -1      37      54     149     165     161      -1   288
 79   0  -1   0     0     0      0      0     -1       0       0       0       2       1      -1     2
 79   0  -1   0     0     1      0      0     -1       1       0       1       0       1      -1     1
 80   0  -1   8     8    18     22     82     -1     230     245     778     793     853      -1  1513
 80   0  -1   9     7    14     21     72     -1     231     242     765     774     828      -1  1711
 81   0  -1   0     0     0      0      0     -1       0       1       2       1       0      -1     0
 81   0  -1   0     0     0      0      0     -1       0       0       0       0       1      -1     0
 82   0  -1  46    50   105     92    394     -1    1229    1471    4428    4484    4516      -1  8296
 82   0  -1  44    51   107     90    448     -1    1175    1245    4292    4500    4644      -1  8360
 83   0  -1  35    34    96     79    331     -1    1047    1077    3554    3606    4030      -1  7308
 83   0  -1  30    28    93     84    315     -1    1018    1083    3570    3766    3778      -1  7220
 84   1  -1 152   195   461    468   2194     -1    5828    5844   18800   19344   19824      -1 36896
 84   0  -1 165   197   461    476   2230     -1    5772    5932   18608   19568   19792      -1 37088
 85   0  -1   0     0     0      0      0     -1       3       2       4       9      10      -1    13
 85   0  -1   0     0     1      0      0     -1       1       1       9       7       7      -1     9
 86   1  -1  50    55   126    131    588     -1    2058    1929    5948    6124    6436      -1 11544
 86   0  -1  52    41   148    140    590     -1    1983    2029    6116    6148    6620      -1 11560
 87   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     1
 87   0  -1   0     0     0      0      0     -1       0       0       1      -1       0      -1     1
 88   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 88   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 89   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 89   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 90   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 90   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 91   0  -1   0     1     0      0      0     -1       0       0       1      -1       0      -1     4
 91   0  -1   1     0     0      0      1     -1       0       0       0      -1       4      -1     3
 92   0  -1   0     0     0      0      0     -1       0       0       0      -1       1      -1     1
 92   0  -1   0     0     1      0      0     -1       0       1       1      -1       3      -1     5
 93   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 93   0  -1   0     0     0      0      0     -1       1       0       0      -1       1      -1     0
 94   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 94   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 95   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 95   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 96   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
 96   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     1
 97   0  -1   0     0     0      0      0     -1       0       0       0      -1       0      -1     0
