38   0   0   0        0        0        0        0       0       0   0   0        1        2        3        1   0   1
38   1   0   0        2        0        1        0       0       0   1   0        1        0        1        5   0   0
39   2   0   1        4        1        8        5       3       0   1   3        7        2        7        3   1   1
39   1   1   1        0        7        8        3       5       4   5   3        2        4        5       -1   2   1
40   2   3   2       17       17       17       23       3       6   1   0       13       12       20       22   1   2
40   1   3   3       26       15       27       12       6       5   1   0       15       20       19       17   2   2
41   4   1   4        1        1        3        3       1       1   0   0        3        3        4        4   3   4
41   1   1   2        6        2        3        3       2       3   1   0        4        3        9        6   4   2
42   2   1   0        4        4        4        1       1       0   0   0        2        2        2        6   0   0
42   0   1   1        2        6        0        1       2       3   0  -1        2        1        3        2   2   0
43   1   1   1        2        1        2        3       1       1   0   0        3        5        2        5   0   2
43   4   3   2        6        3        5        2       1       0   0   0        0        1        6        3   2   1
44  10  18  13       22       17       17       17       9       9   3   2       16       24       10       14   6  15
44   5  14   7       15       14       19       15       5       5   1   0        9       10       19       20  10  11
45   0   0   0        0        0        0        1       0       1   0   0        0        0        0        2   0   1
45   0   0   0        0        0        2        1       0       0   0   0        0        2        0        0   0   0
46   0   0   0        0        1        0        0       0       0   0   0        0        0        0        1   0   0
46   0   0   0        0        0        0        0       0       0   0   0        0        0        0        0   0   0
47   0   0   0        2        2        0        1       0       0   0   0        0        0        0        0   0   0
47   0   0   0        0        0        0        1       0       0   0   0        0        0        0        2   0   0
48   0   0   0        0        0        0        0       0       0   0   0        0        0        0        0   0   0
48   0   0   0        1        0        0        0       0       0   0   0        0        0        1        0   0   0
49   0   0   0        0        0        1        1       0       0   0   0        0        0        2        1   0   0
49   0   0   0        1        0        1        1       0       1   0   0        0        0        1        2   0   0
50   0   0   0        0        0        0        0       0       0   0   0        0        1        2        0   0   0
50   0   0   0        0        0        0        0       0       0   0   0        2        0        0        0   0   0
