 50   0   0     395     401     342      64      63      0      0     332     322
 51   0   0     416     451     397     241     192      0      0     421     431
 51   0   0     421     455     423     205     198      0      0     411     378
 52   1   0     424     466     421     372     328      9      9     467     444
 52   0   0     444     450     427     313     333      9      9     445     441
 53   0   0      78      84      91      57      69      0      1      99     105
 53   0   0      76     107      81      51      67      0      1     107     128
 54   0   0      41      39      53      32      40      6      9      49      49
 54   0   0      41      47      48      38      36      8      5      57      56
 55   0   0     418     464     532     409     396     74     78     544     540
 55   0   2     432     500     486     371     417     65     84     529     567
 56   0   1     688     787     800     675     703    149    164     809     901
 56   0   2     664     786     827     620     671    163    148     860     834
 57   0   0     100     109     101      79      78     23     22      97     115
 57   0   1      98     117      82     104      82     15     13     102     104
 58   0   0     373     399     432     337     322     82     79     458     468
 58   0   0     446     418     446     323     295     79     70     419     463
 59   0   0      28      18      24      19      16      3      2      18      20
 59   0   0      21      22      23      13      13      3      1      14      19
 60   0   0       7       7       6       1       1      0      0       4       6
 60   0   0       6       7       8       0       0      1      1       3       9
 61   0   0      17      17       9       0       0      0      0      17      15
 61   0   0      13      14      10       0       0      0      0      14      19
 62   0   0      11      18      19       6       1      0      0      16      13
 62   0   0      18      12      18       4       8      1      0      16      16
 63   0   0      68      84      70      37      36      0      0      67      82
 63   0   0      80      73      81      48      45      0      0      71      73
 64   0   0       6       7       4       2       4      1      0       5       2
 64   0   0       4       7       7       2       3      0      0       2       5
 65   0   0       7      12       6       4       6      0      0      11      14
 65   0   0       6       5       7       4       5      0      0       2       7
 66   0   0       4       2       5       2       3      0      0       7       4
 66   0   0       2       2       2       0       2      0      0       3       3
 67   1   0      18      15      27      19      24      3      2      25      20
 67   0   0      22      19      35      13      21      2      2      28      21
 68   0   0       5       5       8       9       6      2      3      10       7
 68   0   0       7       5      10       5       9      1     -1       6       6
 69   1   2     168     213     215     177     199     30     49     219     239
 69   1   0     196     222     225     194     187     41     47     211     245
 70   0   0      13      21      25      13      21      2      4      21      23
 70   0   0      16      12      14      16      20      7      4      16      25
 71   0   0       3       0       4       0       4      0      0       5       2
 71   0   0       2       4       2       0       2      2      2       2       2
 72   0   0       7       4       1       1       2      1      0       3       3
 72   0   0       3       1       6       0       1      0      0       4       6
 73   0   0      33      34      32       0       0      0      1      28      36
 73   0   0      29      26      37       0       0      0      0      28      27
 74   0   0      84      97     107       5       2      0      0      94      87
 74   0   0     106     108      79       3       0      0      0     104      91
 75   0   0      39      37      41       9      10      0      0      34      31
 75   0   0      32      41      40       8       5      1      0      43      37
 76   0   0     109     100      93      69      76      1      5      97     107
 76   0   1      92      85     107      66      48      6      4     104      82
 77   0   0     488     541     487     319     348     19     12     548     488
 77   0   1     525     489     523     309     328     14     16     529     525
 78   0   0    2746    2814    2694    2346    2230    634    611    2814    2834
 78   1   0    2786    2734    2830    2314    2326    610    563    2750    2802
 79   0   0     123     117     112      78      97     28     25      88     101
 79   0   0     145      -1     122      73      75     23     30     101     111
 80   0   0       3       6       4       5       2      0      0       3       1
 80   0   1       1       2      10       3       4      2      0       7       2
 81   0   0       3       5       5       4       2      0      0       1       2
 81   0   0       1       2       5       5       3      1      1       3       3
 82   0   0       0       0       0       3       1      0      0       1       4
 82   1   0       3       0       2       2       2      0      1       2       1
 83   0   0       3       3       0       1       2      1      1       1       0
 83   0   0       1       1       2       3       1      1      0       0       0
 84   0   0     141     166     213     151     150     45     51     212     216
 84   0   0      -1     178     205     161     160     53     45     207     207
 85   0   0      25      32      15      18      21      0      8      21      25
 85   0   0      17      21      27      23      13      7      4      22      22
 86   0   0       0       3       2       0       0      0      2       1       1
 86   1   0       3       1       3       2       2      0      1       2       3
 87   0   0       0       0       0       0       0      0      0       0       0
 87   0   0       0       0       0       0       0      0      0       0       2
 88   0   0       0       0       0       0       0      0      0       0       0
 88   0   0       0       0       0       0       0      0      0       0       0
 89   0   0       0       1       0       0       0      0      0       1       0
 89   0   0       0       0       0       0       0      0      0       0       1
 90   0   0       0       0       0       0       0      0      0       0       1
 90   0   0       0       0       0       0       0      0      0       0       0
 91   0   0       4       6       8       8       8      1      0       6       7
 91   0   0       7       6       5       6       6      1      3       4      11
 92   0   0       3       4       6       6       6      2      3       4       2
 92   0   0       4       1       4       3       6      2      4       5       7
 93   0   0       0       0       0       1       0      0      0       2       0
 93   0   0       0       0       1       0       0      0      0       2       0
 94   0   0       0       0       0       0       0      1      0       0       0
 94   0   0       0       0       0       0       0      0      0       0       0
 95   0   0       0       0       0       0       0      0      1       1       3
 95   0   0       0       0       0       0       0      0      0       0       2
 96   0   0       0       1       0       2       1      0      2       1       1
 96   0   0       1       0       1       2       2      0      1       1       1
 97   0   0       0       0       1       0       0      0      0       1       1
 97   0   0       0       0       0       0       0      0      0       2       0
 98   0   0       0       0       1       1       0      1      2       0       1
 98   0   0       0       0       0       1       1      0      0       0       0
 99   0   0       0       0       0       0       0      0      1       0       0
 99   0   0       0       0      -1       0       0      0      0       0       0
100   0   0       0       0       0       1       0      0      0       0       0
100   0   0       0       0       0       1       0      0      0       0       0
