45   0   0       6       3       1       0      1      0       4       5       7       6    2
45   0   0       4       2       4       1      0      0       6       1       3       4    0
46   0   0       1       0       0       0      0      0       1       2       0       1    0
46   1   0       1       0       0       0      0      0       2       1       1       0    0
47   0   0       1       1       0       0      0      0       0       1       0       0    0
47   0   0       0       0       0       0      0      0       0       0       1       2    0
48   0   0       1       2       0       0      0      0       1       1       0       1    0
48   0   0       0       0       1       0      0      0       0       0       2       0    0
49   0   0       0       1       0       1      0      0       1       0       2       2    0
49   0   0       1       3       1       0      0      0       1       0       2       0    1
50   0   0       7       2       0       0      0      0      10       7       7       9    0
50   0   1       9      10       2       0      0      0       9       6       8       4    0
51   0   1       5       9       5       4      0      0      15       6       6      10    0
51   0   0       1       5       1       1      0      0       5       4      10       8    0
52   0   0       2       6       1       3      0      0       3       3       5       6    1
52   1   0       4       4       2       4      0      0       3       3       4       5    1
53   0   0      10       7       7       4      0      0      12       8       9      11    1
53   0   0       9       6       6      10      0      0       6      12      12       7    0
54   0   0       1       2       8       1      0      0       6       6       3       8    2
54   0   0       2       6       2       5      0      1       7       4       5       6    0
55   0   0      18      30      28      27      6      4      39      24      27      48    0
55   2   2      22      30      34      32      4      6      45      31      40      50    2
56   0   1      19      19      32      32     13     10      29      24      31      38    2
56   0   0      27      29      30      38      9     16      36      35      25      23    2
57   1   1       9      10      13      15      7      2      15      14      12      18    3
57   0   0       8       4       9      16      4      1      14      12      12      15    0
58   0   0       6       8       5      16      3      1       8       4      13       6    1
58   2   0      -1       3       9       8      2      3      10      11      17       9    1
59   0   0       1       3       2       1      0      0       1       2       5       1    1
59   0   0       1       1       3       0      0      0       3       1       2       1    0
60   0   0       4       5       6       4      1      0       7       5       5       8    0
60   0   0       4       2       4       3      3      2       8       9       7       5    0
61   0   0       1       1       3       2      1      0       5       2       4       4    0
61   0   0       6       4      -1       3      0      1       3       4       6       1    0
62   0   0       0       8       3       7      2      0       7       3       7       1    0
62   0   0       4      -1       2       3      0      1       8       6       6       4    0
63   0   0       1       2       0       1      1      0       0       6       2       1    1
63   0   0       2       4       1       1      0      0       2       6       1       1    0
64   0   0       0       1       1       1      1      1       0       0       0       0    0
64   0   0       0       0       0       0      0      0       1       0       1       1    0
65   0   0       3       0       0       1      0      0       2       1       3       1    1
65   0   0       2       2       1      -1      0      0       0       2       2       2    1
66   0   0       0       2       1       1      1      0       3       2       6       2    0
66   0   0       4       1       2       2      0      0       1       1       4       2    0
67   0   0      12      12      19      11      2      5      13      19      12      12    1
67   0   0       6       8       9      13      3      2      19      11      14      18    0
68   0   0       4       5       6       5      2      2       2      11       5       3    1
68   0   0       3       3       1       2      2      1       4       5      -1       2    0
69   1   1       6      10       8       7      2      0       6       6       7      10    0
69   0   0       5       9       4       4      2      3       5      11      11       7    2
70   0   0       6       4       2       4      4      6      18      12      12       8    0
70   1   0       9       6      10      15      2      7       9      13       7       8    0
71   0   0       4       1       1       2      1      1       2       3       2       7    0
71   0   0       2       4       1       2      1     -1       1       1       4       1    0
72   0   0       1       1       2       2      0      0       1       2       0       1    0
72   0   0       2       2       2       0      0      1       1       0       2       1    0
73   0   0       0       0       0       0      0      0       1       1       1       1    0
73   0   0       0       0       0       0      0      0       1      -1       1       2    0
74   0   0       0       0       0       0      0      0       2       0       2       1    0
74   0   0       1       0       1       0      0      0       2       1       1       0    0
75   0   0    1783    1843    1043     993      8     10    1727    1831    1817    1753    1
75   0   0    1767    1879    1043     940      6     10    1815    1875    1843    1831    4
76   0   0    5036    5260    4524    4492    730    728    5196    5100    5308    5396    6
76   0   0    5140    5092    4556    4524    732    776    5172    5308    5364    5476    3
77   0   0    1155    1371    1029    1245    182    171    1181    1215    1523    1461    1
77   0   1    1425    1441    1017     950    183    156    1445    1197    1251    1515    2
78   0   0    4364    4524    4082    4180   1123   1103    4548    4636    4628    4588    5
78   0   0    4556    4620    4164    4172   1091   1119    4508    4588    4668    4652    6
79   0   0       2       3       1       1      0      2       4       3       1       2    0
79   0   0       2       3       4       2      0      0       0       4       5       3    0
80   0   0       0       0       2       0      0      0       1       0       1       2    1
80   0   0       0       1       1       0      1      0       0       1       1       1    0
