3383   9.5     1 75      199 HI
3418   9.6     4 75      419 HI
3419   9.6     2 75      735 HI
3448  9.69     6 75        0 HI
3449  9.69     5 75       59 HI
3450   9.7     4 75  2349056 HI
3451   9.7     4 75  2435072 HI
3452   9.7     3 75     4228 HI
3453   9.7     2 75  6238208 HI
3454  9.71     2 75  6336512 HI
3455  9.71     1 75  1348608 HI
3456  9.71     2 75  6402048 HI
3457  9.72     2 75  6443008 HI
3458  9.72     2 75  6467584 HI
3459  9.72     2 75  6500352 HI
3460  9.73     4 75  2705408 HI
3461  9.73     4 75  2705408 HI
3462  9.73     4 75     7076 LO
3463  9.73     4 75     6828 LO
3464  9.74     4 75  2701312 HI
3465  9.74     4 75     6916 LO
3466  9.74     4 75  2717696 HI
3467  9.75     1 75  1391616 HI
3468  9.75     2 75  6557696 HI
3469  9.75     3 75     4684 HI
3470  9.75     4 75  2750464 HI
3471  9.76     5 75       74 HI
3472  9.76     6 75        0 HI
3619 10.19     1 75  1393664 HI
3620 10.19     2 75  6680576 HI
3621  10.2     3 75     5068 HI
3622  10.2     4 75  2861056 HI
3623  10.2     5 75      100 HI
3624 10.21     6 75        0 HI
3687 10.39     1 75  1420288 HI
3688 10.39     2 75  6713344 HI
3689  10.4     3 75     5068 HI
3690  10.4     4 75  2881536 HI
3691  10.4     5 75       71 HI
3692  10.4     6 75        0 HI
3757  10.6     1 25  1242112 HI
3758  10.6     2 25  5894144 HI
3759  10.6     2 25  5976064 HI
3760  10.6     3 25     3130 HI
3761 10.61     4 25   241792 HI
3762 10.61     4 25   241024 HI
3763 10.61     5 25       63 HI
3764 10.62     6 25        0 HI
3911 11.05     1 75  1856512 HI
3912 11.05     2 75  8024064 HI
3913 11.05     3 75     7396 HI
3914 11.06     4 75  3713024 HI
3915 11.06     5 75      138 HI
3916 11.06     6 75        0 HI
4061 11.49     2 15   421632 HI
4062 11.49     3 15      165 HI
4063 11.49     4 15       52 HI
4064 11.49     5 15        1 HI
4099  11.6     1 75  1934336 HI
4100  11.6     2 75  8220672 HI
4101  11.6     2 75  8343552 HI
4102 11.61     3 75     7836 HI
4103 11.61     4 75  3897344 HI
4104 11.61     4 75  3905536 HI
4105 11.62     5 75      161 HI
4106 11.62     6 75        0 HI
4171 11.81     1 25  1680384 HI
4172 11.81     2 25  7106560 HI
4173 11.81     3 25     4612 HI
4174 11.82     4 25   315648 HI
4175 11.82     5 25      100 HI
4176 11.82     6 25        1 HI
4239 12.01     1 75  2051072 HI
4240 12.01     2 75  8445952 HI
4241 12.01     3 75     8264 HI
4242 12.02     4 75  4016128 HI
4243 12.02     5 75      192 HI
4244 12.02     6 75        0 HI
4398 12.47     4 75  4214784 HI
4399 12.48     4 75  4313088 HI
4400 12.48     4 75    12984 LO
4401 12.48     4 75  4370432 HI
4402 12.49     1 75  2349056 HI
4403 12.49     2 75  9003008 HI
4404 12.49     3 75     9560 HI
4405 12.49     4 75  4485120 HI
4406  12.5     5 75      211 HI
4407  12.5     6 75        1 HI
4561 12.95     1 75  2381824 HI
4562 12.95     1 75  2447360 HI
4563 12.96     2 75  9232384 HI
4564 12.96     3 75    10280 HI
4565 12.96     4 75  4730880 HI
4566 12.97     5 75      257 HI
4567 12.97     6 75        1 HI
4634 13.17     1 75  2578432 HI
4635 13.17     2 75  9494528 HI
4636 13.17     3 75    11320 HI
4637 13.18     4 75  4984832 HI
4638 13.18     5 75      297 HI
4639 13.18     6 75        0 HI
4793 13.63     1 25  2336768 HI
4794 13.64     2 25  8593408 HI
4795 13.64     3 25     6852 HI
4796 13.64     4 25   450304 HI
4797 13.64     5 25      203 HI
4798 13.65     6 25        0 HI
4865 13.84     1 75  2721792 HI
4866 13.85     2 75  9641984 HI
4867 13.85     3 75    12024 HI
4868 13.85     3 75    11880 HI
4869 13.85     4 75  5156864 HI
4870 13.86     5 75      303 HI
4871 13.86     6 75        0 HI
5024 14.31     4 75  5173248 HI
5025 14.31     4 75  5296128 HI
5026 14.31     4 75  5312512 HI
5027 14.32     4 75  5320704 HI
5028 14.32     1 75  3246080 HI
5029 14.32     2 75  9887744 HI
5030 14.33     3 75    13016 HI
5031 14.33     4 75  5337088 HI
5032 14.33     5 75      339 HI
5033 14.34     6 75        3 HI
5178 14.76     1 75  3401728 HI
5179 14.76     2 75 10149888 HI
5180 14.77     3 75    14392 HI
5181 14.77     4 75  5648384 HI
5182 14.77     5 75      396 HI
5183 14.77     6 75        0 HI
5328  15.2   0.5 75        0 HI
5329  15.2 0.625 75        0 HI
5330 15.21  0.75 75   629248 HI
5331 15.21 0.875 75   785920 HI
5332 15.21     1 75  3536896 HI
5333 15.22 1.125 75  1674240 HI
5334 15.22  1.25 75   797184 HI
5335 15.22 1.375 75   159104 HI
5336 15.22   1.5 75  9920512 HI
5337 15.23 1.625 75 10264576 HI
5338 15.23  1.75 75 10412032 HI
5339 15.23 1.875 75 10477568 HI
5340 15.24     2 75 10362880 HI
5341 15.24 2.125 75 10280960 HI
5342 15.24  2.25 75 10084352 HI
5343 15.24 2.375 75  6344704 HI
5344 15.25   2.5 75        8 HI
5345 15.25 2.625 75     5636 HI
5346 15.25  2.75 75    14984 HI
5347 15.26 2.875 75    15048 HI
5348 15.26     3 75    14952 HI
5349 15.26 3.125 75    14296 HI
5350 15.27  3.25 75    13208 HI
5351 15.27 3.375 75     2098 HI
5352 15.27   3.5 75     2906 HI
5353 15.27 3.625 75  1229824 HI
5354 15.28  3.75 75  5795840 HI
5355 15.28 3.875 75  5910528 HI
5356 15.28     4 75  5894144 HI
5357 15.28 4.125 75  5713920 HI
5358 15.29  4.25 75  5386240 HI
5359 15.29 4.375 75      636 HI
5360 15.29   4.5 75        0 HI
5361  15.3 4.625 75       11 HI
5362  15.3  4.75 75      440 HI
5363  15.3 4.875 75      410 HI
5364 15.31     5 75      461 HI
5365 15.31 5.125 75      467 HI
5366 15.31  5.25 75      383 HI
5367 15.31 5.375 75        0 HI
5368 15.32   5.5 75        0 HI
5369 15.32 5.625 75        0 HI
5370 15.32  5.75 75        0 HI
5371 15.33 5.875 75        0 HI
5372 15.33     6 75        0 HI
5373 15.33 6.125 75        0 HI
5374 15.34  6.25 75        0 HI
5375 15.34 6.375 75        0 HI
5376 15.34   6.5 75        1 HI
5377 15.34 6.625 75        0 HI
5378 15.35  6.75 75        0 HI
5379 15.35 6.875 75        1 HI
5648 16.14     1 75  3823616 HI
5649 16.14     2 75 10477568 HI
5650 16.14     3 75    17392 HI
5651 16.15     4 75  6270976 HI
5652 16.15     5 75      514 HI
5653 16.15     6 75        0 HI
5798 16.58     4 75  6238208 HI
5799 16.58     4 75    22608 LO
6120 17.52     1 75  4198400 HI
6121 17.52     2 75 10641408 HI
6122 17.53     3 75    20336 HI
6123 17.53     4 75  6787072 HI
6124 17.53     5 75      651 HI
6125 17.54     6 75        1 HI
6270 17.96     4 75  6836224 HI
6271 17.97     4 75    25808 LO
6592 18.91     1 75  4648960 HI
6593 18.91     2 75 10756096 HI
6594 18.91     3 75    24592 HI
6595 18.91     4 75  7434240 HI
6596 18.92     5 75      841 HI
6597 18.92     6 75        3 HI
6742 19.34     4 75  7393280 HI
6743 19.35     4 75    30096 LO
6984 20.05     1 75  4919296 HI
6985 20.06     2 75 10772480 HI
6986 20.06     3 75    28464 HI
6987 20.06     4 75  7835648 HI
6988 20.07     5 75     1039 HI
6989 20.07     6 75        0 HI
7134 20.49     1 75  5148672 HI
7135  20.5     2 75 10788864 HI
7136  20.5     3 75    31152 HI
7137  20.5     4 75  8122368 HI
7138 20.51     5 75     1465 HI
7139 20.51     6 75        7 HI
7284 20.93     1 75  5263360 HI
7285 20.94     2 75 10788864 HI
7286 20.94     3 75    32272 HI
7287 20.94     4 75  8220672 HI
7288 20.95     5 75     1435 HI
7289 20.95     6 75        1 HI
7434    21     1 75  5230592 HI
7435    21     2 75 10788864 HI
7436    21     3 75    32176 HI
7437    21     4 75  8204288 HI
7438    21     5 75     1511 HI
7439    21     6 75        2 HI
