32   2   0   1      17      19      14      17      17      18       5       8      1      2      20      13      23      24    0   3
32   1   0   0      12      18      17      15      18      13       8       5      3      1      22      29      27      21    2   0
33   0   0   0       1       2       0       0       0       0       1       1      0      0       3       1       0       1    0   0
33   1   0   0       0       1       0       0       0       0       1       0      1      0       2       0       1       0    0   0
34   0   0   0       2       2       2       3       1       2       1       1      0      0       4       2       5       3    2   2
34   0   0   0       2       1       3       2       1       2       0       1      0      0       2       1       2       5    0   0
35   1   0   0       0       0       0       0       1       1       1       0      0      0       0       0       0       0    0   0
35   0   0   0       0       0       0       0       0       0       0       0      0      0       1       0       0       0    0   0
36   0   0   0       2       3       0       2       2       2       0       0      0      0       1       2       2       2    1   0
36   0   1   0       2       2       0       1       2       0       0       0      0      0       3       2       2       5    0   0
37   0   0   0       6       2       6       6       3      15       1       1      0      0      12       7      10       7    1   4
37   0   0   0       5       3       5       8       3      11       1       2      0      0       8       7       5       8    3   0
38   0   0   0      10       5       9      14       6       8       0       1      0      0      13      14       9      25    4   2
38   1   0   0       9       8       9      17       9      15       1       5      0      0      19      13      21      17    3   2
39   0   1   1      25      33      38      46      55      59      30      26      2      0      69      71      59      67    5  11
39   1   2   0      37      42      49      49      53      54      21      31      5      4      62      64      49      73   16  10
40   2   0   0      18      22      27      25      22      26      22      22      4      4      29      26      29      22    3   4
40   2   1   1      21      34      18      24      26      34      23      20      0      1      24      21      31      30    2   3
41   0   0   0      37      60      54      73      67      68      68      63     10      6      87     116     106     112   23  12
41   1   0   1      48      61      53      66      65      75      62      71     15     10      85     107      75     123   12   6
42   0   1   0      23      27      39      43      37      49      53      40     22     14      47      53      33      57   10   2
42   1   0   0      30      36      28      41      48      51      42      35     15     18      43      51      37      56    9   6
43   3   1   0      26      28      35      44      45      51      47      58     13     12      69      53      47      69   18  12
43   1   2   0      29      28      32      46      49      56      51      45     14     18      80      69      52      63   20  21
44  11   6  11      49      53      60      60      49      74      47      43     17     13      82      86      79      69   30  26
44  10   7  11      40      65      56      69      63      80      61      57      9     12      83      -1      84     115   37  24
45   0   0   0       0       0       1       1       1       3       2       1      1      2       0       1       1       1    2   1
45   0   0   0       0       0       0       1       2       1      -1       3      0      1       1       2       1       4    3   0
46   0   0   1       0       1       0       0       0       0       0       1      0      0       0       1       1       2    0   0
46   0   0   0       0       0       0       0       0       0       0       0      0      0       0       1       1       1    0   0
47   0   0   0       0       0       0       0       0       1       0       0      0      0       0       0       0       1    0   0
47   0   0   0       0       0       1       0       0       0       0       0      0      0       0       0       0       1    0   0
48   0   0   0       0       0       0       0       0       0       0       0      0      0       1       0       0       0    0   0
48   0   0   0       0       0       0       0       0       0       0       0      0      0       0       0       1       1    0   0
49   0   0   0       0       0       0       2       0       1       0       0      0      0       1       2       2       0    0   0
49   0   0   0       1       0       0       0       1       0       0       0      0      0       2       0       2       1    0   0
50   0   0   0       1       2       0       0       3       3       0       0      0      0       2       3       1       2    0   0
50   0   0   0       2       0       2       2       0       2       1       2      0      0       2       2       5       6    0   0
