 1.833e+00  2.520e+02  1.400e+02  1.720e+02  6.400e+01  3.040e+02
 1.870e+00  2.480e+02  1.440e+02  1.760e+02  6.800e+01  3.360e+02
 1.907e+00  2.520e+02  1.440e+02  1.840e+02  7.200e+01  3.200e+02
 1.944e+00  2.560e+02  1.480e+02  1.880e+02  8.000e+01  3.200e+02
 1.982e+00  2.560e+02  1.520e+02  1.880e+02  9.600e+01  3.040e+02
 2.020e+00  2.520e+02  1.520e+02  1.920e+02  9.200e+01  2.880e+02
 2.062e+00  2.480e+02  1.520e+02  2.000e+02  1.000e+02  2.480e+02
 2.104e+00  2.400e+02  1.480e+02  2.000e+02  1.040e+02  2.160e+02
 2.147e+00  2.560e+02  1.520e+02  2.080e+02  1.120e+02  2.240e+02
 2.190e+00  2.560e+02  1.600e+02  2.080e+02  1.160e+02  2.480e+02
 2.234e+00  2.560e+02  1.560e+02  1.960e+02  1.160e+02  2.520e+02
 2.278e+00  2.560e+02  1.600e+02  2.000e+02  1.240e+02  2.160e+02
 2.322e+00  2.560e+02  1.600e+02  2.080e+02  1.280e+02  2.000e+02
 2.367e+00  2.560e+02  1.600e+02  2.120e+02  1.280e+02  2.160e+02
 2.411e+00  2.560e+02  1.640e+02  2.160e+02  1.400e+02  2.160e+02
 2.457e+00  2.720e+02  1.680e+02  2.200e+02  1.480e+02  2.240e+02
 2.505e+00  2.720e+02  1.720e+02  2.200e+02  1.480e+02  2.440e+02
 2.555e+00  2.720e+02  1.760e+02  2.360e+02  1.560e+02  2.880e+02
 2.606e+00  2.880e+02  1.800e+02  2.320e+02  1.680e+02  3.040e+02
 2.656e+00  2.880e+02  1.800e+02  2.440e+02  1.680e+02  2.880e+02
 2.707e+00  2.880e+02  1.840e+02  2.360e+02  1.720e+02  3.360e+02
 2.759e+00  3.040e+02  1.920e+02  2.360e+02  1.760e+02  3.520e+02
 2.811e+00  3.040e+02  1.920e+02  2.440e+02  1.800e+02  3.520e+02
 2.863e+00  3.040e+02  1.960e+02  2.440e+02  1.840e+02  3.520e+02
 2.915e+00  3.040e+02  2.000e+02  2.440e+02  1.960e+02  3.520e+02
 2.968e+00  3.040e+02  2.000e+02  2.440e+02  1.920e+02  3.360e+02
