 1.465e+00 -3.928e-05 -2.555e-05 -2.268e-06 -1.029e-05 -6.985e-08
 1.496e+00 -3.367e-05 -2.081e-05 -1.901e-06 -1.150e-05  9.347e-08
 1.527e+00 -3.086e-05 -1.725e-05 -7.653e-07 -1.132e-05  3.752e-07
 1.558e+00 -4.489e-05 -1.944e-05 -1.156e-06 -1.128e-05  9.413e-08
 1.589e+00 -5.050e-05 -2.275e-05 -7.756e-07 -1.195e-05 -1.181e-07
 1.621e+00 -3.367e-05 -2.263e-05 -1.562e-06 -1.117e-05 -3.554e-07
 1.653e+00  2.693e-04 -2.253e-06  1.180e-06 -1.083e-05  1.712e-06
 1.687e+00 -1.122e-05 -1.905e-05 -3.964e-07 -1.003e-05  6.681e-07
 1.723e+00 -2.244e-05 -2.231e-05 -3.997e-07 -1.027e-05  3.832e-07
 1.759e+00 -2.525e-05 -2.110e-05  0.000e+00 -9.760e-06  2.885e-07
 1.796e+00 -1.964e-05 -2.102e-05  0.000e+00 -9.238e-06  1.931e-07
 1.833e+00 -1.403e-05 -2.095e-05  8.192e-07 -7.942e-06  2.907e-07
 1.870e+00 -1.683e-05 -1.978e-05  1.239e-06 -7.392e-06  4.863e-07
 1.907e+00 -1.403e-05 -1.972e-05  2.081e-06 -6.832e-06  3.904e-07
 1.944e+00 -1.122e-05 -1.857e-05  2.516e-06 -5.635e-06  3.917e-07
 1.982e+00 -1.122e-05 -1.744e-05  2.535e-06 -3.155e-06  2.948e-07
 2.020e+00 -1.403e-05 -1.740e-05  2.978e-06 -3.814e-06  1.971e-07
 2.062e+00 -1.683e-05 -1.736e-05  3.857e-06 -2.563e-06 -4.943e-08
 2.104e+00 -2.244e-05 -1.840e-05  3.884e-06 -1.937e-06 -2.478e-07
 2.147e+00 -1.122e-05 -1.729e-05  4.777e-06 -6.500e-07 -1.988e-07
 2.190e+00 -1.122e-05 -1.511e-05  4.805e-06  0.000e+00 -4.980e-08
 2.234e+00 -1.122e-05 -1.616e-05  3.513e-06  0.000e+00 -2.495e-08
 2.278e+00 -1.122e-05 -1.507e-05  3.971e-06  1.323e-06 -2.498e-07
 2.322e+00 -1.122e-05 -1.505e-05  4.873e-06  1.994e-06 -3.502e-07
 2.367e+00 -1.122e-05 -1.504e-05  5.334e-06  2.001e-06 -2.504e-07
 2.411e+00 -1.122e-05 -1.396e-05  5.794e-06  4.015e-06 -2.505e-07
 2.457e+00  0.000e+00 -1.288e-05  6.253e-06  5.367e-06 -2.005e-07
 2.505e+00  0.000e+00 -1.180e-05  6.262e-06  5.376e-06 -7.520e-08
 2.555e+00  0.000e+00 -1.072e-05  8.058e-06  6.726e-06  2.005e-07
 2.606e+00  1.122e-05 -9.652e-06  7.610e-06  8.744e-06  3.006e-07
 2.656e+00  1.122e-05 -9.653e-06  8.947e-06  8.737e-06  2.002e-07
 2.707e+00  1.122e-05 -8.583e-06  8.041e-06  9.393e-06  5.000e-07
